"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GSE37301_CD4_TCELL_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_DN",9.69099368994801e-16,1.48947636349746e-13,1.01754479730988,0.594557562174731,2.56686864921037,152,"IZUMO1R, RNF19A, MCTP1, IMMP2L, ATXN2L, VAV3, AFAP1, CBLB, HIVEP1, DTNBP1, RFX7, ITGB1, AAK1, PTGFR, NOD1, VGLL4, PRKCH, SLAMF6, PDE4B, GALNT9, MBOAT1, IKZF1, EVL, UTRN, SLC44A2, ST6GAL1, BTLA, TRAF1, ENDOD1, ITPR1, FSD1L, MAP4K4, FAM78A, VCAM1, IPCEF1, MTBP, ADAMTS6, LRIG1, GRAMD1B, CYRIA, PRMT6, PRKCQ, TIAM1, CD28, ZHX2, SERP1, EIF4E, KYNU, ST8SIA1, ABTB2, GALNT10, BPIFB1, STK39, SLC38A1, PHLPP1, SAMD3, RRAS2, ZUP1, SH3KBP1, BCL2L11, CD83, HIVEP2, IFNAR2, RBM38, KCNK5, CDC14A, P2RX7, IRF2BP2, ITGAE, GSAP, TIMP2, RBL1, IL18R1, RNF43, MARCHF3, IL13, RAB11FIP4, IVD, RBBP6, MINK1, LDHD"
"GSE40068_CXCR5POS_BCL6POS_TFH_VS_CXCR5NEG_BCL6NEG_CD4_TCELL_DN",1.232213018626e-16,2.71729757846568e-14,1.04762648849882,0.577015796095017,2.55075943521981,176,"IZUMO1R, FOXP1, MYO6, CAMK4, REEP1, UBE2E2, ATP8A1, NDST1, SLC16A10, DAPK1, GPCPD1, ATF7IP, PAK1, PDE4B, SPRED1, LYPD6B, RIPOR2, SFMBT2, IKZF1, GPRC5B, MTSS1, LIPA, SATB1, CD200, XKRX, SLFN5, PTEN, SELENOP, RASGRF2, LEF1, MGAT5, AGO2, ACTN1, TGFBR3, NAV2, NIPAL1, CSNK1A1, PIK3IP1, THOC2, MACO1, AFF1, MED13, NFIX, CYTIP, PTK2, BACH2, ARRDC3, SPRED2, DNTT, ZEB1, ARHGAP29, TRIM56, ST8SIA1, TSPAN13, DGKD, RHOH, EGR3, ATP1B1, TRPM1, TRIP12, AFF3, ITM2A, OAZ2, OSBPL8, C1orf74, CKAP4, PPM1B, BCL11B, SESN1, SMARCC1, ING1, VANGL2, IL6ST, EPB41L1, SOX4, OSBPL9, TIMP2, TNS1, STT3B, CD163, CHST15, MYB, PDK1, RAMP1, MAP7, CUL3, DLG4, RASGRP1, MBNL2, RGS10, ZNF281, EXT1"
"GSE22886_NAIVE_CD4_TCELL_VS_DC_UP",4.42580325236483e-17,1.18145653136813e-14,1.06720998682811,0.571812469343666,2.52715343385129,177,"PDE4D, HERC1, PKIA, SYNE2, CAMK4, INPP4B, TUT4, FBXW4, STK17B, KLF12, VNN2, CD247, IKZF1, SNHG32, FGF9, HNRNPA3, LEF1, IPCEF1, CD3E, DPP4, SH2D1A, CYTH1, CAMK2G, PIK3IP1, CD28, KLF9, ZHX2, TPD52, XPO6, DOCK9, SPTBN1, LBH, TNFRSF25, TSC22D3, CD96, CCDC59, ZEB1, LEPROTL1, DGKD, MED15, EEF2, MATR3, CD27, ETS1, APBB1, SPOCK2, RPS6KA5, CDC14B, BCL11B, ADPRM, GPX7, SYNE1, HIVEP2, EIF3H, SAFB2, BUB3, TRA2A, ALDOC, BCR, DIDO1, DUSP1, SIGIRR, ISG20, NCK2, VAMP2, STK26, RALGAPA1, HLA-J, ITK, RPF1, ICOS, CBFA2T2, RPS3, EIF3E, DNAJB1, PASK, ACBD4, KMT2A, ZNF394, USE1, EIF3F, TBC1D4, KCNA3, TARP, LGI2, ABT1, TOMM20, TESPA1, ATG16L1, ZNF91"
"GSE17974_0.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP",1.27922111025998e-15,1.89186229152876e-13,1.01754479730988,0.572276262257858,2.50827188005187,170,"NELL2, HDAC4, VAV3, PIK3R1, HIVEP1, LCOR, NIPBL, RAPGEF6, JMJD1C, DNAJB9, CHD7, CSGALNACT1, TXNDC11, CHD1, SAP18, TMEM131L, TCF7L2, FOXO1, IQSEC1, HECA, TPP2, CCNY, PLLP, RAB11FIP2, ANXA1, ETV3, PTGER4, PXN, IPCEF1, ITGA6, UBASH3B, CXCR4, STK17A, USP3, ATG14, MAP3K8, TAF4B, RB1CC1, ZBTB10, CTSO, GTF2B, ZNF256, LYSMD2, LSM14A, TMEM243, NGRN, ZNF746, ABHD5, LEPROTL1, RHOH, GOLGA7, CHD2, ZNF791, CUX1, SMCR8, SETMAR, FXYD5, MAPK1IP1L, PIK3R5, DAG1, BCOR, AZIN1, RAPGEF2, POLR1A, MTHFD2L, CDC14A, DNTTIP2, SC5D, PRDM4, PRKAA1, SOX4, HIF1A, AHCTF1, TMEM184B, FEM1A, SPATA2, CRTC3, WDR91, RICTOR, CDK12, CENPV, ATMIN, MLXIP, SMURF1"
"GSE21670_IL6_VS_TGFB_AND_IL6_TREATED_CD4_TCELL_UP",2.75609356210097e-15,3.6786596176253e-13,1.00731795687447,0.577764498588749,2.50682318934442,163,"NLN, SDK2, UBR3, CFAP97, TUT4, REG4, UBE3D, SELL, TGFBR2, SNRPE, AOAH, SLC16A10, AAK1, RAPGEF6, GPA33, MAML2, GIMAP2, BAG3, SEMA3A, RIPOR2, SHISAL2A, TPP2, PACS1, APBA2, RASGRF2, PLCL2, LEF1, NDUFV2, MGAT4A, IPCEF1, ACTN1, ITGA6, SYPL1, CMTM7, UBASH3B, USP3, SFPQ, CD28, PRKACB, FHIT, RNF152, CTSO, RCSD1, XYLB, FBXW8, LBH, GABRG1, EEF2KMT, TLR5, GTF3A, CELF2, NDUFB4, IL36A, COX7C, ERP27, BCL9L, RPS24, NOG, TMEM218, MAN2A1, PITPNC1, TMEM272, ADGRE1, C9orf72, DYRK2, N6AMT1, RPL12, RPL6, PMS1, SLC39A10, MICOS10, PGGT1B, ATF6, HSD17B11, RNU11, ATP10A, MDM4, CACUL1, BMP2K, GIMAP6, SPG21, PROX1, RPL23A, GLRX, GMFG, PNO1, MDS2, CALB1, RNF175, SLC35E3, RPS27, PFN2, PLAC8, NRIP1, DGKA, PEX7, ACY1"
"GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_UP",5.94784689523397e-15,7.0156928959597e-13,0.996986217533181,0.582140638287065,2.5063306050393,150,"ZNRF1, CRIM1, INPP4B, ELOVL5, TMEM168, SELL, PPM1H, HACE1, PARD3B, CHD7, CHD1, LYPD6B, PPP6R3, RIPOR2, FGGY, ZC3HAV1, SENP7, SORL1, TRAF1, ABLIM1, ADD3, PLCL2, LEF1, FAM78A, RSF1, IPCEF1, LARS2, PTPRC, MYH9, RAD51D, CAST, PRKCQ, PRKACB, MAGEE1, MED13, RCSD1, TXNIP, CYTIP, PIM1, ZEB1, PAN3, MAPK14, PTBP2, TSPAN13, CDK20, LRRIQ1, TAX1BP1, SNAPC3, DHRS7C, CASP8, ITSN2, MLLT10, FCHO2, BCL11B, SLC26A7, PLCXD2, LONRF3, MIER1, SIPA1L1, ARHGAP9, DDX46, RFX3, GNAI2, NR3C1, NEDD4L, MAP3K7, SSH2, STT3B, TAF5L, XPR1, GIMAP6, ZNF394, PHIP, STAT4, CUL3, LRRC43, EXT1, SENP2, UNKL, ATAD2B, PTPN22, ITCH, RANBP9, JAK1, GRAP2, SMAD7, ARMC2, DGKA, DDX5"
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP",6.89904700454015e-16,1.16771028528574e-13,1.02766987054358,0.565875488604844,2.49586779827219,181,"PKIA, SYNE2, GCC2, NELL2, TUT4, GARRE1, GNB5, RAPGEF6, GPA33, PRKCH, SIDT1, HINT1, SLAMF1, SYNRG, CD247, FOXO1, EVL, SINHCAF, ST6GAL1, JADE2, ABLIM1, LEF1, NAE1, ITGA6, DIPK1A, TGFBR3, DPP4, PRKCQ, SKAP1, PIK3IP1, CD28, TRAF5, PRKACB, ARID5B, FHIT, DOCK9, SPTBN1, MLLT3, LBH, TNFRSF25, BACH2, GTF3A, CD96, ZSCAN18, MYBL1, GSPT2, RHOH, CD27, PEBP1, ITM2A, SLC38A1, SPOCK2, PSIP1, SH3YL1, BCL11B, PRKD2, MAL, CDR2, GPX7, MAN1C1, HIVEP2, GPRASP1, DYRK2, AP3M2, DENND2D, CCT4, KLHL3, ATP2A3, SIGIRR, NCK2, GIMAP5, PRPS1, ITK, CTC1, ICOS, TATDN2, IL2RG, PTPN4, CEP68, PASK, STAT4, PIM2, ITPR3, B3GNT2, CBX7, TBC1D4, PLCG1, RASGRP1"
"GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_DN",1.84129422594515e-15,2.52406603080913e-13,1.00731795687447,0.573755697018072,2.49185629412665,162,"FOXP1, HERC1, AK5, PDE7B, CAMK4, SCML1, LRRC8D, DENND5A, MTURN, SELL, HIVEP1, MERTK, KALRN, ATXN7L1, GPA33, VNN2, MDN1, MAML2, LINC01550, CHKA, PGAP1, TMEM131L, TSHZ2, LEF1-AS1, KRT1, BPTF, APBA2, LDLRAD4, ABLIM1, IRF4, MAP4K4, LEF1, AGO2, IPCEF1, ACTN1, WWP1, KLF7, BCL2A1, RASA2, SERTAD2, PIK3IP1, SPTBN1, MLLT3, PTK2, LINC01089, TLR5, ATM, CD27, CTSL, PKM, NOG, TMEM272, GLCCI1, PDE3B, RIF1, ZKSCAN7, IL6ST, KLHL3, AMN1, MTUS1, OTULINL, SSH2, TUG1, SLC39A10, MACF1, ICOS, ASAP1, SFI1, CRTC3, SELP, FAM13A, TENM1, MYB, AGMAT, PDK1, CEP68, TET3"
"GSE10325_CD4_TCELL_VS_MYELOID_UP",7.23923554743194e-16,1.16771028528574e-13,1.02766987054358,0.565170337791904,2.49098482908134,180,"EFCAB14, SYNE2, ARHGAP15, NELL2, INPP4B, PIK3R1, GVINP1, GPA33, PRKCH, HSPA8, RPA2, BAG3, LPIN2, CD247, RNF144A, EVL, SATB1, UXS1, TRAT1, TRAF1, APBA2, RAB33A, LEF1, MGAT4A, LRRN3, NAE1, NCALD, ITGA6, TGFBR3, CD226, LRIG1, FBLN5, DPP4, SH2D1A, PRKCQ, SKAP1, PIK3IP1, CD28, FHIT, DOCK9, CCSER2, MRPS30, MLLT3, SUPT3H, TNFRSF25, PIM1, NGRN, CD96, ZEB1, MYBL1, LEPROTL1, ASF1A, ITM2A, SPOCK2, C12orf29, AMZ2, CYLD, ASTE1, SMYD2, BCL11B, MAL, CDR2, ADPRM, GPX7, MAN1C1, SYNE1, HIVEP2, BUB3, DYRK2, PNMA1, AP3M2, DENND2D, CCT4, KLHL3, ALDOC, BCR, NCK2, GIMAP5, ITK, ICOS, SFI1, PTPN4, DNAJB1, PIGC, UFSP2, CEP68, LANCL1, STAT4, SOCS2, ITPKB, TBC1D4, PLCG1, MSH2, ARL4C"
"GSE10325_CD4_TCELL_VS_BCELL_UP",1.5184204861392e-15,2.13928575158279e-13,1.01754479730988,0.56417497719158,2.48612660275623,179,"PHACTR2, PDE4D, AK5, NELL2, HDAC4, GIMAP4, PIK3R1, AAK1, FYN, PRKCH, TMEM123, CD247, ATP2B4, RNF144A, CERK, TRAT1, PLCL1, APBA2, ANXA1, RAB33A, KLRG1, PXN, LEF1, MGAT4A, NCALD, IPCEF1, ITGA6, MT1X, GNAQ, TGFBR3, WWP1, PIP4K2A, SERINC5, TNFSF10, LRIG1, RUNX1, MICAL2, DPP4, SH2D1A, SPATS2L, PRKCQ, SKAP1, CAMK2G, PIK3IP1, TIAM1, CD28, PRKACB, IGF2R, DOCK9, CCSER2, MLLT3, TNFRSF25, P2RX4, SELPLG, PIM1, SVIL, MYBL1, LEPROTL1, GOLGA7, SRGN, SAMHD1, ITM2A, VIM, CYLD, ZNF277, BCL11B, MAL, CDR2, PDE3B, DYRK2, AP3M2, UPP1, FKBP5, INPP4A, GIMAP5, ZMYM6, ITK, ICOS, NACC2, PLIN2, SFI1, SEMA4D, CCND3, TOB1, PTPN4, DPYD, ATP10A, RPS6KA3, GIMAP6, CALM1, PRMT2, STAT4, SOCS2, ITPKB, STXBP1, TNFSF8, TBC1D4, PLCG1, RASGRP1, RGS10, ARL4C, TARP"
