"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GSE14699_NAIVE_VS_DELETIONAL_TOLERANCE_CD8_TCELL_UP",6.78809620852805e-16,1.16771028528574e-13,1.02766987054358,0.622576791337472,2.60626967787895,129,"FOXP1, CRIM1, ARHGAP15, SH3BP5, SSBP2, HDAC4, INPP4B, TANC1, MAPK8IP3, L3MBTL3, PPM1H, RAPGEF4, TNRC6C, KDM5B, SNX29, SIDT1, TMEM106B, FOXO1, CNGA1, IQSEC1, FOXJ2, PNPLA7, XKRX, TRAT1, ST6GAL1, ADGRL2, LEF1, PATJ, TGFBR3, ADAMTS6, CD226, YPEL1, DPP4, KIZ, ZHX2, SCML4, OVGP1, CD55, TSC22D3, SPRED2, ZFP82, ARHGAP35, LRP6, SESN1, BCOR, SYNE1, BICRA, SLC43A2, MPPE1, IL6ST, PHF21A, NEDD4L, MGRN1, ITGAE, TIMP2, METTL8, CHST15, PDK1, CEP68, THUMPD2, SLC17A9, IL7R, TNFSF8, EML5, RASGRP1"
"GSE14699_NAIVE_VS_ACT_CD8_TCELL_DN",3.03193015945407e-15,3.9430640432695e-13,1.00731795687447,0.585697567272881,2.52164449895218,150,"FOXP1, ZNRF1, SH3BP5, SSBP2, INPP4B, ELOVL5, RAPGEF6, RAPGEF4, TNRC6C, MDN1, DMXL1, SIDT1, PDE4B, ABCA1, FOXO1, CNGA1, ZMYM2, XKRX, TRAT1, ST6GAL1, BTLA, LEF1, FAM78A, RREB1, IPCEF1, PATJ, ACTN1, SLC25A36, RGP1, FOXK1, MGST2, TAGAP, KIZ, SCML4, CD55, LRCH3, ZEB1, PAN3, HIPK2, ARHGAP35, FOCAD, CUX1, POLI, BAZ2B, ITM2A, TASOR2, RRAS2, CYLD, TTC28, SESN1, ABCG1, BCOR, SIPA1L1, NEU3, IL6ST, STAMBPL1, NEDD4L, ITGAE, EXOSC10, FYTTD1, ITK, SSH2, TIMP2"
"GSE29949_CD8_POS_DC_SPLEEN_VS_MONOCYTE_BONE_MARROW_DN",1.35202729338111e-14,1.52388498489533e-12,0.986546283587582,0.565985210703685,2.47024653318817,167,"RPS23, PRKY, CDH2, HDAC4, NEK9, NONO, CBLB, FST, RMND5A, ZNF184, FYN, MTHFS, GRM1, TMEM123, PPP2R3A, GPR65, BTBD3, STAM2, SATB1, KCNJ1, OXA1L, ST6GAL1, SP100, ITPR1, CST7, DTNB, IBTK, LRRN3, MNAT1, ARL6IP5, MRTFA, SERINC5, GRAMD1B, LRP4, SERTAD2, SH2D1A, EIF4EBP1, BMP3, ADAM5, CD28, CREM, ELF4, LAG3, PYROXD1, OVGP1, SP140, SIK3, ARHGAP25, CENPI, PPP1R12A, BCAT1, C11orf58, ST8SIA4, ANP32E, RIOK3, IMPA1, ZNF85, CARS1, PPM1B, AP3S1, SYNE1, GALNT3, HMX1, PRKAA1, ALDOC, FKBP5, ISG20, MTUS1, RBBP8, IL1R1"
"GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_UP",3.31986724129193e-15,4.20959166195817e-13,1.00731795687447,0.556974719757902,2.45860827272864,175,"STEEP1, RNF19A, NT5C3A, FRMD4A, SMAD4, SOD2, MTURN, RFX7, TMEM131, DHX15, TAF2, AMPD3, RSAD2, SATB1, COX11, TRIM27, PALS2, ACO1, TRAT1, ST6GAL1, IBTK, RASGRF2, NAE1, RESF1, SLC25A36, FILIP1L, C1orf52, RBM12, OGT, PRMT6, PIK3IP1, TMEM71, NCOA2, CYTIP, BACH2, SPRED2, UBR2, CLCN3, ZFP82, TRIM56, NUBPL, ST8SIA1, NDRG1, DGKD, ASF1A, ACAP2, NGLY1, MATR3, TUBB2A, DNAJC5, ACTR6, BCL2L11, SMARCC1, METTL9, LAMTOR3, G2E3, EZH2, RAB2B, NEMP1, OPA1, TRMT6, ZNF329, GGA2, RC3H1, TPRG1L, DBR1, WASL, SBK1, TDP2, TENT4B, MTAP, RASGRP1, SMIM15, CFL1, TOMM20, USP1, MINDY2, REV3L, NPAT, CXXC5, TMEM50B, PTCH1, ZNF131, SET, SPAST, KBTBD7, TNIK, KLHL24, NUP62, SNRPA1, MTF2, EGR2, GABPA, ADNP, XPO7, SMARCD2, TRAF3"
"GSE14699_NAIVE_VS_DELETIONAL_TOLERANCE_CD8_TCELL_DN",2.61729716153539e-14,2.70916963332806e-12,0.97599468306432,0.557121677615281,2.42137598617929,165,"FOXP1, NFE2L2, MYO6, ACOXL, CPE, TGFBR2, GRAMD2B, NIPBL, SGK1, NRP2, SLAMF6, PDE4B, MBOAT1, RSAD2, LYPD6B, CNGA1, IKZF1, RNF144A, EMB, RNF213, SATB1, CRYBG3, IL4, IRAG1, PLEKHA2, SLFN5, ALPK1, KIAA0040, ADD3, LEF1, FAM78A, AGO2, THEMIS, ACTN1, TGFBR3, FILIP1L, DNAH2, MAU2, NIPAL1, LETM2, MFSD4A, KLF13, IGF2R, IRGM, RORC, LAG3, AQR, MCTP2, N4BP2L2, RPL7, ST8SIA1, POU2AF1, DGKD, APBB1IP, FGD3, ITM2A, IL21, DSP, PITPNC1, BCL2L11, MACROH2A1, PDE3B, METTL9, PPP2R5C, ING1, DENND2D, ITGB3, SOX4, ITK, TIMP2"
"GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_UP",5.81200023956613e-14,4.83253528116056e-12,0.954541630725724,0.550175164692965,2.42098715730659,174,"SYNE2, NELL2, INPP4B, AUTS2, ZNHIT6, CBLB, RAPGEF6, BCAS4, GCFC2, SIDT1, SMYD3, RUNX3, CD247, RNF144A, NRCAM, GZMB, ZNF506, JADE2, ABLIM1, RAB33A, KLRG1, LEF1, MGAT4A, LRRN3, ABCD2, NCALD, GNLY, ITGA6, TGFBR3, CD3E, LRIG1, DPP4, SH2D1A, NR3C2, PRKCQ, SKAP1, CD28, NAP1L3, TRAF5, TPD52, DOCK9, MLLT3, SUPT3H, SP140, LBH, BACH2, CD96, ZSCAN18, CD8A, TSPAN5, MYBL1, CD27, ETS1, ITM2A, SLC38A1, SPOCK2, LPIN1, RRAS2, SH3YL1, BCL11B, MAL, ADPRM, PDE3B, GPRASP1, DENND2D, ALDOC, NCK2, ITK, TRMT11, MACF1, RRP1B, GZMH, YES1, IL18R1, PTPN4, DNAJB1, PRMT1, CEP68, PASK, PRMT2"
"GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY3_POST_IMMUNIZATION_UP",1.0353892381621e-13,7.83805106859429e-12,0.954541630725724,0.556891001842868,2.42030570398372,164,"IL20RA, FOXP1, FSTL5, ICE1, CRIM1, APP, CDC42EP3, SNTB1, SMAD4, PIK3R1, PPM1H, FASLG, SGK1, PID1, BTG3, TFAP4, LYPD6B, CYP4V2, BAG3, PDE3A, GPR65, PAG1, RPS29, TRAT1, KIAA0040, BCL7A, LRRN3, PIP5K1B, THEMIS, PCMTD1, FILIP1L, CD226, ZSCAN26, LRIG1, ABCB1, TMEM154, OSR1, PHF3, PLEKHH3, PIK3IP1, SCML4, CYTIP, LFNG, TSC22D3, FOXO3, TRIM56, PROS1, GALNT10, SKI, BCL9L, CFL2, PPM1B, CYLD, PIK3R5, BCL11B, BIRC2, PACC1, GPRASP1, DYRK2, PXYLP1, ARHGAP5, RPL12"
"GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_UP",2.19529248934439e-14,2.36904755445846e-12,0.97599468306432,0.554741747107609,2.41774777727023,166,"FOXP1, AK5, PKIA, MMEL1, NELL2, SCML1, FBXO15, REG4, C17orf67, UBE2E2, EFHD1, DENND5A, SELL, SLC16A10, PCSK5, NDFIP1, EPB41L2, KLHL6, MAML2, FAM184A, PDE9A, FOXO1, SNHG32, ADGRA3, NRCAM, LEF1-AS1, NEXMIF, LEF1, ROBO3, LRRN3, IPCEF1, ACTN1, ITGA6, NAA16, SPINK2, YPEL2, CYP2J2, KLF7, NR3C2, PIK3IP1, TAF4B, RFX2, ZBTB10, SERP1, OVGP1, CD55, TRABD2A, APBB1, THEM4, TPST1, NOG, RBM26-AS1, SH3YL1, CARS1, TMEM272, MAL, ADPRM, MAN1C1, RNF157, ZNF662, IL6ST, FBP1, MEST, UBIAD1, IGF1R, FAM216A, CD248, MRRF, TSEN2, MYB, AGMAT, PDK1, NAT9, EIF2D, PASK, SNED1"
"GSE17301_ACD3_ACD28_VS_ACD3_ACD28_AND_IFNA2_STIM_CD8_TCELL_DN",4.78638681964639e-14,4.21454047898488e-12,0.965327754226083,0.54574779987807,2.41253594652062,176,"MOCS2, CDK17, ADAM23, NELL2, GPC3, INPP4B, GIMAP4, IFNAR1, DACH1, HIVEP1, UBL3, CHD7, CSGALNACT1, RSU1, RSAD2, TAOK3, BAG3, RIPOR2, FOXO1, DZIP3, ZC3HAV1, ARHGAP17, RNF144A, ABCC4, DDX60, PDLIM5, TMEM183A, FUT8, HIBCH, SENP7, ZCCHC14, NAA60, RAB33A, MGAT4A, IPCEF1, DIAPH1, DIPK1A, BTN3A3, GNS, SPINK2, XYLT1, CD226, SERINC5, ABCB1, BCL2A1, CYTH1, C1GALT1, TES"
"GSE12392_IFNAR_KO_VS_IFNB_KO_CD8_NEG_SPLEEN_DC_UP",2.6082812198687e-13,1.65374154227573e-11,0.932595211336209,0.553853596511529,2.403077798356,163,"SNHG5, NFE2L2, CDK17, NDEL1, GPR35, CDC42EP3, FCHSD2, CORO1C, WBP4, GNA13, CNTLN, HIVEP1, SGK1, RAPGEF6, GPCPD1, MAP3K2, DNAJB9, BTG3, CTTNBP2NL, TANK, CHKA, CHST11, BAG3, F3, B3GAT2, USP12, RPRM, CLN8, OSGIN2, ETV3, PTGER4, RGS1, LGALS3, C1orf52, SERTAD2, CYTH1, MAFF, ELF4, ZBTB10, SAV1, CYTIP, P2RX4, TSC22D3, BMT2, SERTAD1, DUSP5, PPTC7, TUBB2A, ATF3, SNX16, CLK3, ZNF277, BRWD1, PPIF, RIF1, RAPH1, NEK7, KDM3A, ERAP1, AHRR, ZNF267, TOB1, LINC01128, ZNF627, ANKRD11, DNTTIP1, NPPC, CHMP1B, RSRC2, MAPK8, NDE1, CDC42, CFLAR, KAT6A, MFSD14A, TMOD3, GFPT1, CH25H, CYP51A1, ZMIZ1, DNAI1, CDC73, FRMD8, UAP1, LINC01532, COCH"
