"","GREAT_SYMBOL","CD4_avgLogFC","CD8_avgLogFC"
"1","ARIH2",-0.381584747685382,-0.510623443121262
"2","BCL2",-0.555755202791455,-0.551063135412943
"3","BHLHE40",-0.666268042973447,-0.524881767502686
"4","C1orf61",-0.936157776972103,-0.63165492115496
"5","CBWD1",-1.19676135578765,-1.30826790954719
"6","CRELD2",-0.488573018754857,-0.742525021479331
"7","ELOVL3",-0.649466391493059,-0.505580435750695
"8","FAM9C",-0.882430524458301,-0.61782141984385
"9","FBXO27",-0.663312085499399,-0.662557426553923
"10","GNAS",-0.483564169527343,-0.445848588138948
"11","GPC5",-1.61497139825174,-0.495330171680647
"12","HIP1",-0.839722409317305,-0.882554847349946
"13","HNF4G",-1.06161605727531,-1.18831023127941
"14","IRF2BPL",-0.617383684821297,-0.577748233799231
"15","LRRC37A3",-0.946841811018657,-0.586332290119527
"16","MMEL1",-1.03404051402882,-0.816477330939253
"17","NCOR2",-0.608707234448538,-0.459637697444397
"18","NKX1-1",-1.70919890908071,-1.08970896222687
"19","NUB1",-0.809390270480799,-0.863154033414497
"20","PRKX",-0.464194991501042,-0.505228177710317
"21","RASSF8",-1.27295697333956,-0.931379161044688
"22","SLC4A3",-1.16728486964591,-1.17999565587472
"23","TMEM121",-1.20592148188334,-1.71694498586448
"24","TTLL12",-0.46962023220697,-0.715926890453098
"25","XPC",-1.59926675079803,-0.829531483879313
"26","ZFP36L1",-0.58987320424544,-1.1077297712204
"27","ZFPM1",-0.899215461634568,-1.30269620500073
