"","CD4_avgLogFC","CD8_avgLogFC"
"FBXO27",-0.663312085499399,-0.662557426553923
"CRELD2",-0.488573018754857,-0.742525021479331
"TTLL12",-0.46962023220697,-0.715926890453098
"ELOVL3",-0.649466391493059,-0.505580435750695
"NCOR2",-0.608707234448538,-0.459637697444397
"BCL2",-0.555755202791455,-0.551063135412943
"IRF2BPL",-0.617383684821297,-0.577748233799231
"ARIH2",-0.381584747685382,-0.510623443121262
"GNAS",-0.483564169527343,-0.445848588138948
"ZFP36L1",-0.58987320424544,-1.1077297712204
"FAM9C",-0.882430524458301,-0.61782141984385
"C1orf61",-0.936157776972103,-0.63165492115496
"LRRC37A3",-0.946841811018657,-0.586332290119527
"MMEL1",-1.03404051402882,-0.816477330939253
"HIP1",-0.839722409317305,-0.882554847349946
"NUB1",-0.809390270480799,-0.863154033414497
"ZFPM1",-0.899215461634568,-1.30269620500073
"CBWD1",-1.19676135578765,-1.30826790954719
"HNF4G",-1.06161605727531,-1.18831023127941
"SLC4A3",-1.16728486964591,-1.17999565587472
"GPC5",-1.61497139825174,-0.495330171680647
"TMEM121",-1.20592148188334,-0.518208519692487
"RASSF8",-1.27295697333956,-0.931379161044688
"NKX1-1",-1.70919890908071,-1.08970896222687
"XPC",-1.59926675079803,-0.829531483879313
"GPR88",-0.524868494191596,1.45688449376904
"PARP11",-0.427702474072174,1.25051776793011
"CELF2",-0.607680030615625,1.32298670879159
"TMEM158",-0.566267298591768,1.26205776583984
"CERK",-0.158673194990359,0.919378413346518
"EZR",-0.438254019315062,0.52830432786108
"PPP1R37",-0.61689701543729,0.477983146428057
"DNAL1",-0.703521301757326,0.805384261642703
"PLXNA1",-0.771388988668942,0.747583581152643
"KLHL23",-0.740659646045472,0.641427237634824
"SNTB1",-0.642518401505435,0.713766573012755
"ZNF496",-0.60834238345007,0.663663217884019
"IGLL5",-0.678419142287952,0.978989699184285
"DHX35",-0.483372120946624,0.763513777002654
"MICAL3",-0.486155649895917,0.800808866546343
"ZRANB2",-1.56925619184566,1.69817668756012
"EFEMP1",-0.892809256527924,1.59194302455321
"GALNT17",-1.04858017394846,1.35040948399696
"SLC35B3",-1.25010429127093,1.40620866362183
"KMT2E",-2.02368648686693,0.667460877857925
"UQCRFS1",-1.39937413595841,1.05604167004695
"SEC14L1",-1.37721337229768,0.579702730739642
"ADGRG6",-1.03005000350958,0.768046930040633
"IL4I1",-0.983745582319024,0.675703954337666
"PLPP7",0.480289766482704,0.807260018597411
"SCML4",0.395352514541861,0.71813847374421
"BPGM",0.598113890394592,0.571699479679689
"ZNF888",0.459223826925483,0.630410657512408
"SLC25A33",0.500290277895226,0.575570141192244
"AGO2",0.470882679372097,0.574398467659019
"TMEM159",0.458302587132012,0.571261066776517
"MAN1A1",0.796287109278635,0.346246076217676
"DYNLRB2",1.01571752844457,0.451908738125843
"PRPF38A",0.951833969023257,0.444785720165616
"ADHFE1",0.746600410715517,0.734206595832635
"ZNF471",0.7069104293086,0.900222395775021
"ATXN1",0.901964037664052,0.865684308001022
"FOXN3",1.0923208542223,0.837849373075753
"DTHD1",1.28533452851236,1.49866125263999
"FSHR",1.0749255534638,1.52233492848197
"OPRM1",1.07149724901807,1.2348440911657
"TRHDE",0.93881657556226,1.23088910608372
"HCN1",1.13215226000791,1.08827291270856
"SLITRK5",1.33303206041872,1.13516901290481
"GAP43",0.435439881571927,1.3812229659817
"PLCL1",0.409570384909447,1.45355075590914
"CC2D1B",0.436527725604641,1.00704100843985
"PARP16",0.388901077158596,1.07943300804587
"MYC",0.567808474353645,0.972837817155185
"RNF144A",0.571081734385838,1.08515801735399
"CHRM3",0.586871537166601,1.20705920053426
"HDAC4",0.802207061991323,1.2006694627851
"EPHA3",1.94451370799094,1.017184598792
"TMEM26",1.6302760459004,1.98018009096015
"CXXC4",0.801546497266413,1.67104454457408
"GRM3",1.08231376617817,1.97903384095948
"CDH8",1.68251046925103,-1.20487516234987
"PCDH18",2.03007467238998,-1.26793223540624
"BHLHE40",0.120832148065609,-0.524881767502686
"C1orf52",0.437342640805791,-0.455766018760897
"STEAP1B",0.632862980380949,-0.695173574770032
"HEG1",0.586512858341677,-0.488045703487358
"PRKX",0.692481678028216,-0.505228177710317
"FAM184A",0.664869165669163,-0.980189126118127
"LRRC70",0.855596396865597,-1.07876495255885
"LMCD1",1.41010016727526,-0.733262628520339
"GORASP2",1.1972173701161,-0.526046787185125
"OTULIN",0.979267626238176,-0.567234344395239
