"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_UP",3.10026603511526e-21,6.83676057830634e-19,1.19534448258848,0.623444912395362,2.77575714590239,172,"ATP2B1, PCMTD2, TOX, HDAC4, PFN2, FGF9, PIK3R1, PIK3CA, UBL3, IRS2, MYLIP, INPP5D, PELI1, TMEM123, CHD1, RIPOR2, CRY2, RPL34, HECA, ZFP36L2, JUN, LEF1, SIK1, SORL1, RAB11FIP2, ANXA1, MXI1, KLRG1, PTGER4, PLCL2, TPT1, USP34, ADD3, BTG1, CXCR4, ARL4A, NEFL, SPINK2, SERINC5, KLF7, USP3, GPR183, NR3C2, CYTH1, SMURF1, PIK3IP1, DYRK1A, ATG14, ARID5B, CCNL1, DSTYK, KLF2, DPEP2, KLF11, CYTH4, SIK3, MGAT4A, MED6, MAPRE2, PXN, PCF11, LEPROTL1, TIPARP, GSE1, ARL4C, TRIB2, EPHA4, SMAGP, CASP8, FOS, KANSL2, LYPD3, TNFRSF10B, ATG12, CDR2, DYRK2, TNFAIP3, FAM53B, DUSP1, SIGIRR, LAPTM5, RALGAPA1, TXNIP, SARAF, CIRBP, KIAA0513, HSD17B11, CRTC3, TOB1, PTPN4, FAM13A, DNAJB1, FOSB, TSPYL1, ZNF331, ATMIN, SLC16A2, CNOT2, YPEL5"
"GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_UP",8.20688426950451e-22,2.08126585074634e-19,1.21254456769062,0.618135198486071,2.76185049861148,182,"ATP2B1, PCMTD2, SCML1, RPL10L, PFN2, PIK3R1, APBA2, UBL3, YTHDF3, IRS2, KLF6, MYLIP, PELI1, CITED2, TMEM123, CHD1, RIPOR2, CRY2, SLC2A3, HECA, ZFP36L2, SIK1, SORL1, JADE2, RAB11FIP2, ANXA1, MXI1, KLF3, KLRG1, PTGER4, PLCL2, USP34, ADD3, CXCR4, PATJ, ARL4A, NEFL, SPINK2, SERINC5, KLF7, USP3, GPR183, NR3C2, ATXN7, SMURF1, PIK3IP1, DYRK1A, ATG14, MGP, CCNL1, DSTYK, KLF2, KLF11, MGAT4A, IL7R, MED6, PXN, LEPROTL1, TIPARP, PRKCB, ARL4C, NR4A2, EPHA4, LPIN1, MAPK1IP1L, CREBBP, VCPKMT, FOS, KANSL2, TMEM185B, CKAP4, HBB, LYPD3, PIAS2, CDR2, GPRASP1, DYRK2, TNFAIP3, DUSP1, SIGIRR, NCK2, RALGAPA1, TXNIP, SARAF, HLA-G, CIRBP, KIAA0513, CRTC3, JAM3, TOB1, FAM13A, DNAJB1, HLA-F, FOSB, LMX1B, TSPYL1, TSPOAP1, ZNF331, RNF11, ITPR3, CNOT2, YPEL5, RASSF8"
"GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_NIK_NFKB2_KO_DC_UP",1.61539555182608e-19,2.73109541295397e-17,1.14219120216838,0.625699642215112,2.7172957784707,152,"FOXP1, ATP2B1, B4GALT7, SH3BP5, COBLL1, SMAD4, DMRTA1, VAV3, PIK3R1, SELL, FBXO28, CD84, MDN1, ST3GAL1, KLHL6, ITGA4, SLAMF6, PRKCQ, GNPTAB, CD247, RIPOR2, RNF144A, PHF21A, EMB, DPH5, LEF1, BTLA, CD44, SGMS1, KLF3, KLRG1, ZSWIM6, DEF6, ADD3, FBXW7, ACTN1, SCFD2, FRYL, WWP1, CYTH1, PIK3IP1, DAPL1, RFX3, TRAF5, SCML4, RCSD1, EOMES, QPRT, GRAMD4, CD55, LRCH3, BACH2, TNFAIP8L2, ELMO1, NDUFA4, PRKCB, ARL4C, ETS1, METTL27, CNOT6L, LPIN1, FAS, SAMD3, CDC14B, ARHGAP5, ICAM2, RASA3, TNFAIP8L1, HS3ST3B1, FAM53B, SIKE1, PLXNC1, TTC7B, NEDD4L, NCK2"
"GSE40068_CXCR5POS_BCL6POS_TFH_VS_CXCR5NEG_BCL6NEG_CD4_TCELL_DN",2.78463807799439e-19,4.41365135362111e-17,1.13308993200902,0.608525783586925,2.71276215444123,173,"IZUMO1R, ZNF22, ATP1B1, FOXP1, CDC42EP4, MYO6, AMIGO2, UBE2E2, ATP8A1, STT3B, SLC16A10, GPCPD1, SOX4, ATF7IP, MTMR2, PAK1, BCL11B, SPRED1, RIPOR2, SFMBT2, IKZF1, GPRC5B, MTSS1, LIPA, SATB1, CD200, LEF1, XKRX, SLFN5, CAMK4, SELENOP, KCNMB4, RASGRF2, MGAT5, AGO2, ACTN1, ARRDC3, DAPK1, NAV2, NIPAL1, CSNK1A1, PIK3IP1, DAPL1, THOC2, NRIP1, MED13, CYTIP, NFIX, PTK2, BACH2, DNTT, ZEB1, ARHGAP29, TRIM56, ST8SIA1, RASGRP1, TSPAN13, DGKD, RHOH, EGR3, TRPM1, TRIP12, AFF3, SMO, TRIB2, ITM2A, OAZ2, OSBPL8, EPB41L1, CKAP4, PPM1B, RPL31, SESN1, SMARCC1, AFF1, FAM210A, ING1, VANGL2, IL6ST, MARCKS, OSBPL9, TIMP2, CHST15, MYB, PDK1, RAMP1, MAP7, TNS1, DUSP10, CUL3, PDE4B, MBNL2, RGS10, ZNF281, EXT1, HSDL1, REEP1, PTEN"
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP",5.45826582585967e-20,1.02534534328742e-17,1.15122052214226,0.604447852393736,2.69661803969741,183,"RUNX1, MAST4, NELL2, HDAC4, INPP4B, GIMAP4, SELPLG, PIK3R1, MAF, APBA2, RAPGEF6, PCSK5, MLLT3, FHIT, FYN, TMEM30B, BCL11B, PRKCQ, BAG3, LPIN2, CD247, ATP2B4, RNF144A, HECA, GATA3, LEF1, CERK, CAMK4, TRAT1, PLCL1, ZCCHC14, ANXA1, RAB33A, IPCEF1, ACTN1, ITGA6, MT1X, GNAQ, CD3E, WWP1, PRKCH, SERINC5, LRIG1, FBLN5, DPP4, SH2D2A, SKAP1, PRKCA, PIK3IP1, TIAM1, CD28, CD4, DHRS3, CCSER2, TNFRSF25, PIM1, MGAT4A, IL7R, PXN, LEPROTL1, ARL4C, ITM2A, SPOCK2, UXS1, ITPKB, CYLD, TRMO, ADGRE1, MAL, CDR2, ITM2B, MAN1C1, HIVEP2, TBC1D2B, TBC1D4, AP3M2, UPP1, IL6ST, LPAR6, SIGIRR, NFRKB, GIMAP5, ZMYM6, TSPAN14, ICOS, KIAA0513, SEMA4D, PTPN4, DNAJB1, ATP10A, GIMAP6, STAT4, KDSR, UGP2, DOCK9, B3GNT2, TNFSF8, PLCG1, RGS10"
"GSE10325_CD4_TCELL_VS_BCELL_UP",4.23999436314219e-20,8.27125054225276e-18,1.16017957183021,0.607230141908181,2.69657114974275,177,"RUNX1, NELL2, HDAC4, GIMAP4, PDE4D, SELPLG, PIK3R1, MAF, APBA2, AAK1, MLLT3, FYN, TMEM30B, FKBP5, BCL11B, TMEM123, PRKCQ, CD247, ATP2B4, RNF144A, GATA3, LEF1, CERK, TRAT1, PLCL1, ANXA1, RAB33A, KLRG1, NCALD, IPCEF1, ITGA6, MT1X, GNAQ, WWP1, PRKCH, PIP4K2A, SERINC5, TNFSF10, LRIG1, DPP4, SH2D1A, SH2D2A, SPATS2L, SKAP1, PRKCA, CAMK2G, PIK3IP1, TIAM1, CD28, PRKACB, IGF2R, CCSER2, TNFRSF25, P2RX4, PIM1, MGAT4A, AK5, PXN, MYBL1, LEPROTL1, RASGRP1, SRGN, ARL4C, SAMHD1, ITM2A, VIM, ID2, CALM1, ITPKB, CYLD, ZNF277, PHACTR2, MAL, CDR2, PDE3B, MICAL2, TBC1D2B, DYRK2, TNFAIP3, TBC1D4, AP3M2, UPP1, LPAR6, INPP4A, GIMAP5, ZMYM6, ICOS, NACC2, PLIN2, SFI1, SEMA4D, TOB1, PTPN4, DPYD, ATP10A, RPS6KA3, GIMAP6, PRMT2, STAT4, DOCK9, SOCS2, TRPV2, STXBP1, TNFSF8, PLCG1, RGS10"
"GSE37301_CD4_TCELL_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_DN",2.40324779735187e-18,2.90025714556507e-16,1.10533657731401,0.618653075377859,2.68876391202766,150,"IZUMO1R, DCLK2, RNF19A, MCTP1, ATXN2L, SERP1, VAV3, AFAP1, CBLB, HIVEP1, DTNBP1, RFX7, ITGB1, AAK1, PTGFR, NOD1, VGLL4, SLAMF6, GALNT9, MBOAT1, PRKCQ, RRAS2, IKZF1, EVL, TTC8, BHLHE40, ST6GAL1, BTLA, TRAF1, ENDOD1, UTRN, FSD1L, MAP4K4, RPLP0, TRIB1, VCAM1, IPCEF1, PRKCH, ADAMTS6, LRIG1, GRAMD1B, PRMT6, GPR183, TIAM1, CD28, CBX4, ZHX2, EIF4E, PENK, KYNU, ST8SIA1, ABTB2, GALNT10, BPIFB1, STK39, SLC38A1, PHLPP1, CD83, IFIH1, SAMD3, ITPKB, BCL2L11, HIVEP2, IFNAR2, RBM38, KCNK5, P2RX7, IRF2BP2, GSAP, TIMP2, JARID2, ITPR1, RBL1, IL18R1, RNF43, IL13, RAB11FIP4, IVD, RBBP6, TSPOAP1, LDHD, TMEM67, PDE4B, TNFSF8, LIMK1, CDC14A"
"GSE10325_CD4_TCELL_VS_MYELOID_UP",1.82927228189284e-19,2.99292548830983e-17,1.14219120216838,0.600392489720826,2.67949476714592,180,"MAST4, SYNE2, NELL2, INPP4B, LRRN3, PIK3R1, MAF, APBA2, MLLT3, FHIT, SUPT3H, ARHGAP15, BCL11B, PRKCQ, HSPA8, RPA2, BAG3, LPIN2, CD247, RNF144A, MYC, EVL, GATA3, SATB1, LEF1, TRAT1, TRAF1, RAB33A, NCALD, ITGA6, PRKCH, CD226, LRIG1, FBLN5, DPP4, SMYD2, SH2D1A, SKAP1, PRKCA, PIK3IP1, CD28, DHRS3, CCSER2, MRPS30, TNFRSF25, PIM1, CD96, MGAT4A, ZEB1, MYBL1, LEPROTL1, ASF1A, ARL4C, ZNF32, ITM2A, SPOCK2, C12orf29, UXS1, AMZ2, ITPKB, CYLD, ASTE1, CLEC2D, MAL, CDR2, ADPRM, GPX7, MAN1C1, SYNE1, HIVEP2, BDH1, BUB3, DYRK2, PNMA1, TBC1D4, AP3M2, CCT4, KLHL3, ALDOC, BCR, NCK2, GIMAP5, ICOS, SFI1, PTPN4, DNAJB1, PIGC, UFSP2, CEP68, LANCL1, STAT4, DOCK9, SOCS2"
"GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_DOUBLE_POSITIVE_THYMOCYTE_DN",2.00354650819012e-18,2.4785336315952e-16,1.10533657731401,0.598914281651921,2.66991480203666,173,"TIGD2, FOXP1, TNFSF4, NFE2L2, ARL5A, TBL1XR1, NRN1, ATXN1, TLE1, MTURN, KTN1, USP32, AAK1, CLDN12, GPCPD1, MLLT3, SAMSN1, CHD7, ARHGAP15, PIK3CG, AGL, VEZF1, TOR3A, DUSP4, SFMBT2, ANXA3, HECA, AKAP13, GJA1, FOSL2, MED30, FRMD4B, UNC93B1, MXI1, PTGER4, EXTL2, MGAT5, MAPK6, ADAMTS6, PIP4K2A, YPEL2, BCL2A1, TIAM1, TES, DAPL1, MXD4, IRGM, CD82, RCSD1, ZNF703, GOLIM4, TMEM243, CD96, SCD, MGAT4A, JCAD, UBE2E3, RMND5A, IDH2, ST8SIA1, RASGRP1, DGKD, NGLY1, TGFB1, ARAP2, MELK, CDT1, PDE3B, SRPK1, FAM117B, SLC30A1, ALDOC, MICAL1, RNF149, SPECC1, HDAC5, TLCD2, SFXN3, ASAP1, RPS6KA3, SSH2, BMP2K, KDM1A, CALCOCO1, TAP1, PPP2CB, IKZF3, ZNF250, ABHD17B, NFIL3, MAPKAPK2, NATD1, TNFAIP8, PLCG1, JMJD1C, RGS10, HIVEP3"
"GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_DN",5.54219386098455e-18,5.20555690053956e-16,1.0959292864312,0.615237869912068,2.668019890136,153,"FOXP1, HERC1, CALM3, CBS, SCML1, DENND5A, MTURN, SLC39A10, SELL, HIVEP1, PGAP1, MERTK, APBA2, CTSL, ATXN7L1, IKZF2, VNN2, MDN1, MLLT3, BPTF, PELI1, CHKA, TMEM131L, TSHZ2, LEF1, IL21R, CAMK4, KRT1, LDLRAD4, ABLIM1, IRF4, SERTAD2, KLF3, MAP4K4, MAP3K1, USP34, AGO2, IPCEF1, PDE7B, ACTN1, WWP1, KLF7, PTPRS, HTR6, BCL2A1, RASA2, PIK3IP1, MAML2, SPTBN1, PTK2, TET3, TLR5, AK5, ATM, CD27, TRIB2, PKM, NOG, PDE3B, RIF1, ZKSCAN7, FAM117B, IL6ST, KLHL3, MTUS1, TSPAN14, MACF1, ICOS, ASAP1, SFI1, LRRC8D, CRTC3, F5, FAM13A, TENM1, MYB, AGMAT, PDK1, CEP68, SSH2, IL12B, KMT2A, PHIP"
