"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GSE16385_ROSIGLITAZONE_IL4_VS_IFNG_TNF_STIM_MACROPHAGE_UP",5.27251129577143e-25,1.91015552086805e-22,1.29512308741004,0.641093506517036,2.87292007016183,184,"GNA14, CDK17, GCC2, PCMTD2, NELL2, SCML1, LRRN3, GIMAP4, CLDN1, STK17B, HIVEP1, SLC16A10, JRKL, FYN, TRAK2, CHD7, ATF7IP, SLA, GCH1, SLAMF1, TSC22D2, DUSP4, BAG3, DZIP3, SLC2A3, CCNT2, PLN, DDX60, MOB4, RAB3GAP1, ZFP36L1, PLLP, CAMK4, COL6A3, RAB33A, UNC50, ADD3, PIGK, ACTN1, BTN3A3, LRRC8B, NAA16, ABCB1, BCL2A1, CAB39, GPR183, SKAP1, ZSWIM8, PIK3IP1, TIAM1, PFKFB3, ZHX2, NRIP1, CCR9, MYOM2, KLF2, DPEP2, PTK2, TNFRSF25, BACH2, NUDT9, N4BP2L2, SEC24B, IDS, GALNT10, ARID4B, ING3, SUPT20H, NR4A2, SPOCK2, OSBPL8, ID2, KRAS, CREBBP, PPM1B, JAK1, CLEC2D, VPS13B, BIRC2, CD40LG, RBM38, TBC1D2B, DYRK2, GBP1, USP36, SLC30A1, IL6ST, TYW1, ALDOC, BANP, ISG20, MTUS1, MICAL1, MED23, SUPT7L, SEMA4D, TOB1, LTN1, GOSR1, PTPN4, TENM1"
"NAKAYA_PBMC_FLUMIST_AGE_18_50YO_3DY_DN",5.70170062526098e-54,9.63967519044124e-51,1.91449911137215,0.570046136369065,2.84613541070305,604,"STXBP5, FOXP1, ATP2B1, CDK17, RNF19A, FOXN3, KPNA3, BBX, SCML1, PHACTR1, ELOVL5, PDE4D, PGRMC2, ATXN1, CASS4, GNA13, PIK3R1, MAF, HIVEP1, LCOR, HIPK1, UFM1, PIK3CA, TMEM135, ZNF184, STT3B, THUMPD3, UBL3, POLB, NRBF2, NDFIP1, GPCPD1, ATP11B, KDM5B, MAP3K2, PDXDC1, PDK3, EDRF1, NSMAF, SENP5, RAPGEF2, CHD7, MYLIP, BTG3, CENPC, ELL2, TXNDC11, RFC1, TSC22D2, CHD1, CHST11, SYTL3, HNRNPD, DUSP4, RUNX3, NEDD1, ABCA1, CRY2, VCP, FOXO1, IVNS1ABP, METRNL, COPS8, LATS2, RELL1, GATA3, PHF3, CUL2, PTBP2, GALC, TGS1, CCNH, BHLHE40, ZFP36L1, HMGXB4, EMC7, PKN2, FUT8, WIPF1, CAMK4, PLCL1, FOSL2, SREK1, TMPO, SORL1, OSGIN2, POM121C, RAB11FIP2, CD44, RNF125, TOP1, NUFIP1, KLF3, MAP4K4, RAB30, SVIP, NDUFV2, MAK16, MGAT5, SEPSECS, SLC12A6, KIF5B, EPC1, CHORDC1, RAB8B, FRYL, SLC25A36, PRKCH, EIF3A, FBXO3, RBM12, ATL2, HERC3, STAM, SFPQ, RRP12, RASA2, SNX9, CHD2, GNAS, ATXN7, CSNK1A1, DENND4A, EML4, CD28, NAP1L3, ATG14, TFG, CCNL1, CBX4, TPCN2, CEBPB, MAFF, PJA2, XCL1, RB1CC1, MED13, KBTBD2, ST7, BACH2, SIK3, ZRANB1, MIS12, MCTP2, ZNF746, FOXO3, EIF4E, SF3B1, ZEB1, ARAF, ARPP19, ZDHHC18, RMND5A, ABHD5, PLAA, RBM26, LEPROTL1, ARID4A, YKT6, PDP1, IDS, PRDM2, RHOH, USP16, CSNK1E, KPNA5, MCM6, ZNF791, MAP1LC3B, ARL4C, IFRD1, MIER3, PPM1A, GSK3B, PPP3R1, BAZ2A, LRRC8C, ITM2A, SPOCK2, CNOT6L, HIC1, C12orf29, KRAS, SERINC1, METTL14, IMPA1, DNAJB6, PSIP1, RPS6KA5, RBM33, SMC4, MCPH1, PPM1B, ZFR, CYLD, CGRRF1, JAK1, ZNF395, RTN4, ZDBF2, CHIC2, TRMO, EP300, CDR2, PLCXD2, PHF20L1, LONRF3, BRWD1, MIER1, SIPA1L1, DIP2B, GPRASP1, RBM38, RIF1, TEX30, ATP6V1H, PPP2R5C, GALNT3, TNFAIP3, AP3M2, PMAIP1, USP36, SC5D, PRKAA1, CSNK1D, RAE1, STAMBPL1, IRF2BP2, BCR, STK35, G2E3, LRPAP1, NFRKB, KDM3A, SFN, FGFR1, FUBP1, IGF1R, AHCTF1, MED23, JARID2, OPA1, CTDSP2, EIF2AK3, YES1, DNAJA1, EIF4G3, NDUFAF5, BCLAF1, ADNP2, DNAJB1, CWF19L1, TBRG1, DCTN4, RICTOR, RC3H1, VIRMA, PDK1, METAP2, WBP11, RBBP6, HNRNPC, MTERF4, THUMPD2, CDK12, WASL, DDA1, SLC25A37, SAR1A, ZC3H15, ARAP3, FBXL3, SIRT1, CUL3, NAF1, B3GNT2, BOD1L1, MAPKAPK2, CD59, TIGAR, JMJD1C, SELENOI, SAMD4B, MBNL2, RCOR3, SLC25A28, ZNF644, PNO1, ZFC3H1, NMD3, ZNF805, GRK2, EMSY, SENP2, SMAD7, ASB6, NDE1, ZNF317, SNX13, CDC42, EZH2, KAT6A, TWF1, PSPC1, ATG16L1, RALGAPA2, CDK11A, SFXN1, MARF1, ESS2, SUCO, ZNF131, RPS27, ZBTB44, CAND1, BCL7B, PDCD4, ARID3B, SFSWAP, CDK7, RHBDD2, BRD7, DENND6A, PHF10, MCM9, DDX24, NR1D2, TNIK, KLHL24, HBP1, POLR2D, TBC1D15, BRD1, NAP1L5"
"GSE23502_WT_VS_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_BM_UP",3.2621228958374e-22,8.70815122509858e-20,1.22105375677186,0.644873302774762,2.83160731027473,165,"NRXN1, HLA-DOB, COBLL1, DDIAS, ATP8A1, LCOR, PGAP1, PARP8, TNS3, DSC3, CD84, HEXB, SOX4, SMCHD1, KMO, ZNF608, MTCP1, PELI1, RFC1, RRAS2, LPIN2, TMEM131L, BPGM, SEMA3D, PAG1, PTTG1, PAIP2, ARID1B, CD200, CCNH, PXK, ZFP36L1, C2orf88, SORL1, ALCAM, RREB1, SLC12A6, ARRDC3, BACH1, RASA2, TTK, TRAF5, PRKACB, MXD4, XCL1, CTSO, ATRX, UBLCP1, RRM2B, LMO2, PI4K2B, CADM1, FOXO3, IDH2, RAB32, ARID4A, PAN3, HLA-B, ETS1, PRKD2, PRPF4B, PLCXD2, BCOR, BRWD1, STAP1, TNPO1, DYRK2, ING1, FKBP3, NCK2, STK26, CD40, NDUFAF5, INSIG1, MSL1, DUSP6, SLC4A7, VIRMA, CEP68, BMP2K, PEX11G, TBC1D14, MAP7, IGLL1, BCL10, GIMAP6, SLC25A37, TNFRSF21"
"GSE29949_CD8_POS_DC_SPLEEN_VS_MONOCYTE_BONE_MARROW_DN",2.017398912203e-22,5.68458182371868e-20,1.22950405660873,0.632205503716123,2.81240467393509,174,"RNF187, PRKX, RPS23, PLK4, CDH2, GPR65, HDAC4, LRRN3, NONO, CBLB, FST, ZNF184, SERPINB8, FYN, FKBP5, KLF6, MTHFS, CCT8, GRM1, CITED2, TMEM123, PPP2R3A, ETV4, SI, NEK9, BTBD3, IER3, SATB1, KCNJ1, MTIF2, OXA1L, ST6GAL1, SP100, CST7, SERTAD2, DTNB, IBTK, MNAT1, CHRNA2, ARL6IP5, NEFL, SERINC5, GRAMD1B, LRP4, SH2D1A, EIF4EBP1, BMP3, CD28, CREM, CEBPB, ELF4, LAG3, PYROXD1, OVGP1, SP140, SIK3, ARHGAP25, CENPI, RMND5A, PPP1R12A, BCAT1, C11orf58, RYBP, ST8SIA4, MAP1LC3B, ANP32E, RIOK3, STAM2, IMPA1, ZNF85, PPM1B, ATG12, SYNE1, GALNT3, HMX1, PRKAA1, ALDOC, ISG20, MTUS1, FGFR1, IL1R1"
"ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_1DY_DN",2.58629844745556e-58,6.55885286274731e-55,1.99397243506636,0.554573070780283,2.80120227331712,709,"RPS23, STXBP5, TDP1, FOXP1, HERC1, DTHD1, AMY2B, PCMTD2, NELL2, TOX, INPP4B, SRPK2, LRRN3, TBL1XR1, HLA-DOB, COBLL1, BBS9, IPO5, TSPAN18, CASS4, TLE1, ZNHIT6, CBLB, TMEM168, ATP8A1, RPS14, CERS4, C1orf21, APBA2, SLC16A10, RFX7, AAK1, RAPGEF6, AXIN2, KLF12, CDKN2AIP, IKZF2, MDN1, BANK1, FHIT, ST3GAL1, FYN, TMEM156, CSGALNACT1, HSF2, ARHGAP15, MZT2A, BPTF, BCL11B, SIDT1, SLAMF6, RECK, AGL, TFAP4, HINT1, SLC16A7, PRKCQ, ARID2, EBF1, SMYD3, ACP6, CD247, ATP2B4, FOXO1, RNF144A, RPS29, ZFP36L2, EMB, EVL, SATB1, HNRNPA3, CEP57, GYPC, GCSAM, CD200, DPH5, LEF1, SP4, OXNAD1, GCNT4, PACS1, ACO1, CERK, SLA2, CAMK4, ANKH, ZNF506, TRAT1, PLCL1, CEP120, ST6GAL1, BTLA, ZBTB16, SORL1, TRAF1, CD44, BCL7A, ABLIM1, RNF125, CST7, NEPRO, KLRG1, RASGRF2, SRSF5, RPLP0, RAB30, SVIP, MPRIP, CCNB1IP1, LYRM7, MPHOSPH9, USP13, NAP1L1, MGAT5, SIT1, USP34, ABCD2, NCALD, THEMIS, ZNF585B, BTG1, PIGK, ITGA6, CD3E, WWP1, CXCR4, PATJ, NAA16, PRKCH, CDC42SE2, SLC4A10, YPEL1, PRSS23, SERINC5, MTFMT, ZMAT3, ATL2, LRIG1, ABCB1, TMEM14A, OGT, DPP4, RASA2, SH2D1A, NR3C2, VWA8, SKAP1, PRKCA, PIK3IP1, CD28, NFATC2, TRAF5, PRKACB, BIN1, GNPDA2, XPOT, CLSTN3, PABPC1, MAML2, SCML4, RGMB, PARP16, EOMES, DPEP2, DHRS3, SPTBN1, CCSER2, CASP6, TRABD2A, LBH, BACH2, RBL2, TARBP1, PDE4DIP, FMNL3, CD96, MGAT4A, CRYL1, AK5, FAM172A, IL7R, ZEB1, ZFP82, CD8A, CFAP36, MYBL1, CAMK1D, RASGRP1, ATM, RPL32, RHOH, EIF3D, IFT46, ZNF486, EEF2, FOCAD, CSNK1E, ARL4C, OSBPL10, ZNF32, CD27, NSA2, ETS1, AFF3, PEBP1, THEM4, SLC5A3, CCR4, STK39, ZFP90, SLC12A2, TRIB2, ITM2A, EPHA4, PTCH1, SLC38A1, SPOCK2, RPA1, CNOT6L, RRM1, MID2, ZNF827, PAX5, NOG, SAMD3, RPLP1, PSIP1, PCYOX1, NDRG2, PAIP2B, ZNF33B, ATP8B2, CDC14B, ITPKB, PIAS2, SMIM8, POLA1, ZNF395, SSBP2, ZDBF2, CLEC2D, APBB1, SESN1, MAL, CDR2, ADPRM, GPX7, PDE3B, SYNE1, BRWD1, HIVEP2, CD40LG, RNF157, ADGRG1, BDH1, ACVR2B, EIF3H, DYRK2, ARHGAP5, HIBADH, RPL12, RASA3, AP3M2, GNG2, HS3ST3B1, GNG7, VSIG1, ZNF559, ALDOC, NCK2, RPL6, KDM3A, RALGAPA1, PRPS1, CDK6, TBC1D31, BLK, MACF1, MIB1, IGF1R, CEP78, REST, AHCTF1, CTC1, KCTD7, ARHGEF9, ZNF266, RBL1, RBBP7, NDUFAF4, RPS3, COMMD6, KLRF1, CRTC3, TOB1, CRTAM, ADK, CARD11, PTPN4, ZNF329, FAHD2B, CD248, DNAJB1, SPATA5, SLC4A7, RPL5, ABCC5, AGMAT, PDK1, PGM2L1, ZFP62, CEP68, RPS6KA3, AGTPBP1, PDGFC, EIF2D, KMT2A, LANCL1, ARHGAP12, EIF3K, USE1, STAT4, CD200R1, IKZF3, TMEM181, CENPV, VEGFB, DOCK9, EIF3F, CPSF6, ANAPC1, HACD3, ZNF286A, LIAS, RPL30, ACVR2A, CBX7, PLCG1, MBNL2, MSH2, CDC14A, OCIAD2, KCNA3, MAPK13, RPL23, ZNF337, ZNF792, RPS19, ALDH18A1, NOL4L, RETREG1, SNRNP200, KLRK1, CYP2R1, RSL24D1, NPAT, TLR10, TESPA1, CHMP7, ZNF91, RPL27A, CXXC5, PTPN22, NMT2, SFXN1, FUT10, RPL37A, FITM2, SESN3, ZBTB44, UNC119B, PRRC2B, PDCD4, LDHB, IP6K1"
"NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_7DY_DN",2.13281458052684e-27,1.06807321597492e-24,1.3575740855908,0.602234392611144,2.79018997217243,256,"RAB20, QKI, ATP1B1, NFE2L2, CDK17, RNF19A, PHACTR1, SMAD4, PDE4D, L3MBTL3, ZCCHC2, ZNF326, LCOR, RASGEF1B, YTHDF3, SAMSN1, TSC22D2, CHD1, EPG5, SP3, HEG1, IVNS1ABP, ZC3HAV1, METRNL, LATS2, SLC25A30, CPEB2, SIK1, ZNF506, FOSL2, XPR1, SP100, MED30, UTRN, SERTAD2, BCL6, ETV3, PTGER4, TRIB1, PTX3, RGS1, RIPK2, CHORDC1, RAB8B, ARL4A, BCL2A1, ATXN7, PFKFB3, ADO, EGR1, CREM, KLF4, MAFF, MAP3K8, KBTBD2, ZBTB10, ZBTB33, KCNS2, KLF11, CD55, ZNF703, PCGF5, GPATCH2L, ETNK1, C11orf58, SERTAD1, PDP1, RLIM, DUSP5, EGR3, ARL4C, OTUD1, PPM1A, ATF3, NR4A2, STK39, MAPK1IP1L, ZBTB43, CD83, RPS24, MEX3C, FOS, RBM33, CHMP2B, CFL2, ITPRIP, CYLD, KDM7A, GZF1, PRPF4B, C9orf72, BCOR, RBM38, ASCC3, FAM117B, HBEGF, KLHL15, PMAIP1, SLC16A6, TGIF1, IRF2BP2, DUSP1, UQCRC2, KBTBD8, ZBTB21, TRAF6, MEF2D, FGFR1, ZNF92, JARID2, ZFAND5, ZNF267, PGGT1B, YES1, INSIG1, FTH1, RBM18, RAB11FIP4, RICTOR, HLA-F, FOSB, TSPYL1, CACUL1, RBBP6, BCL10, HNRNPC, NUB1, WASL, TNFRSF21, HERC4, FBXL3, NFIL3, PPP2R2A, CHMP1B, YPEL5, SOCS1, TIGAR, JMJD1C, NLRP3, ZNF281, ZNF644, ZFC3H1, RGS2, NFKBIE"
"GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_UP",3.10026603511526e-21,6.83676057830634e-19,1.19534448258848,0.623444912395362,2.77575714590239,172,"ATP2B1, PCMTD2, TOX, HDAC4, PFN2, FGF9, PIK3R1, PIK3CA, UBL3, IRS2, MYLIP, INPP5D, PELI1, TMEM123, CHD1, RIPOR2, CRY2, RPL34, HECA, ZFP36L2, JUN, LEF1, SIK1, SORL1, RAB11FIP2, ANXA1, MXI1, KLRG1, PTGER4, PLCL2, TPT1, USP34, ADD3, BTG1, CXCR4, ARL4A, NEFL, SPINK2, SERINC5, KLF7, USP3, GPR183, NR3C2, CYTH1, SMURF1, PIK3IP1, DYRK1A, ATG14, ARID5B, CCNL1, DSTYK, KLF2, DPEP2, KLF11, CYTH4, SIK3, MGAT4A, MED6, MAPRE2, PXN, PCF11, LEPROTL1, TIPARP, GSE1, ARL4C, TRIB2, EPHA4, SMAGP, CASP8, FOS, KANSL2, LYPD3, TNFRSF10B, ATG12, CDR2, DYRK2, TNFAIP3, FAM53B, DUSP1, SIGIRR, LAPTM5, RALGAPA1, TXNIP, SARAF, CIRBP, KIAA0513, HSD17B11, CRTC3, TOB1, PTPN4, FAM13A, DNAJB1, FOSB, TSPYL1, ZNF331, ATMIN, SLC16A2, CNOT2, YPEL5"
"NAKAYA_PBMC_FLUMIST_AGE_18_50YO_7DY_DN",1.65448308442814e-58,6.55885286274731e-55,1.99397243506636,0.546206322786645,2.7751144971972,752,"GTF2IRD2, SYNCRIP, RAB20, QKI, ATP1B1, ACTR3, NFE2L2, ZFY, CDK17, DNAJC3, GPR65, MMADHC, BBX, KLHL2, PHACTR1, SLCO3A1, KMT2E, SMAD4, TMEM68, PDE4D, L3MBTL3, SNRK, ZNF622, ZCCHC2, ZNF326, SOD2, GNA13, PIK3R1, STK17B, RAB21, LCOR, RASGEF1B, FBXO28, NRBF2, ATP11B, KDM5B, MAP3K2, YTHDF3, SAMSN1, IRS2, RAPGEF2, CHD7, HMGCS1, MYLIP, SIPA1L2, HSF2, BTG3, PPP1R2, ELL2, PEX2, PPP2R1B, SLC2A14, PELI1, HINT1, USP15, SYTL3, C3orf38, CPEB4, FNDC3B, BAG3, SP3, PPARD, ABCA1, BNIP2, ANXA3, G3BP2, IVNS1ABP, SLC2A3, ZC3HAV1, CCNT2, PELO, HECA, USP12, SLC25A30, GYPC, CPEB2, PAIP2, TGS1, MOB4, SIK1, ZFP36L1, HMGXB4, ZMYM2, TMEM183A, PKN2, ILF3, KRR1, PLCL1, FOSL2, CUL1, ASNSD1, SP100, KCMF1, SLC25A33, PSMD12, MED30, BCL7A, SERTAD2, BCL6, MXI1, ETV3, KLF3, PTGER4, TRIB1, PHC3, PTPN2, IRGQ, BTG1, RGS1, ADGRG3, RAB2A, ZFAND6, SLC12A6, RIPK2, RAB8B, CMTM6, SLC25A36, LRRC8B, CXCR4, MAPK6, SERINC5, C1orf52, EID3, S100P, KLF7, FBXO33, BACH1, BCL2A1, GPR183, DENND3, CHD2, B4GALT1, ATXN7, MED13L, SMURF1, EML4, PFKFB3, ADO, CREM, TFG, CBX4, NRIP1, MXD4, MAP3K8, ODC1, CYTIP, KBTBD2, TRIM13, ZBTB10, GTF2B, ZBTB33, PRRC2C, DHRS3, SERPINB1, CD55, RRM2B, TRMT10C, EHD4, SIK3, ZRANB1, TMEM243, PHLDA1, PCGF5, FOXO3, U2SURP, MGAT4A, GPATCH2L, ZEB1, ETNK1, CTBS, MED6, ARPP19, RMND5A, ABHD5, CHPT1, C11orf58, LEPROTL1, ZNHIT3, SERTAD1, ARID4A, RYBP, IDS, FAM104A, TIPARP, PRDM2, RLIM, CHSY1, DUSP5, EGR3, PPTC7, SRGN, MED28, ING3, MATR3, MAP1LC3B, CAMK2D, HNRNPH2, OTUD1, IFRD1, MIER3, PPM1A, SMNDC1, NR4A2, PLAGL2, C6orf226, BAZ2A, CNOT6L, RIOK3, MAPK1IP1L, ZBTB43, CD83, KRAS, RPS24, PAX5, MEX3C, COPS2, VCPKMT, PRC1, RBM33, MCPH1, TLE3, CHMP2B, CFL2, NUFIP2, KANSL2, ITPRIP, NOL11, PPM1B, HBB, LYPD3, ITPKB, BCL2L11, KDM7A, ADAM22, ZNF395, SIAH1, GZF1, PRPF4B, WDR45B, BICRA, NUDT4, AZIN1, MIER1, PPIF, RANBP6, ASCC3, NSMCE3, MTHFD2L, DYRK2, ARHGAP5, LARP7, AP3M2, HBEGF, ZNF571, KLHL15, PMAIP1, DNTTIP2, USP36, TFRC, ZFAND2A, PRDM4, PTPMT1, ATP2A3, TNFAIP6, LAMTOR3, TGIF1, MPC2, UQCRC2, STK35, KBTBD8, HIF1A, ZBTB21, TRAF6, MEF2D, G0S2, ZNF92, RPF1, TMEM167B, AHCTF1, MED23, ICOS, SEC14L1, MALSU1, JARID2, GMFB, GADD45A, ZNF267, CYSTM1, IRF2BPL, SEMA4D, TUBA1C, NDUFAF5, INSIG1, POLR2M, GOSR1, SS18L2, HSPA13, NRAS, BCLAF1, DNAJB1, RBM18, CCDC71L, UTP23, RAB11FIP4, BZW1, STX11, METAP2, WBP11, TPRG1L, TSPYL1, TSFM, CACUL1, RBBP6, BCL10, NUB1, MTERF4, REL, MFAP1, SLC25A37, SAR1A, DUSP10, ZNF331, ZNF394, PIM2, RNF11, RBM8A, ABHD17B, NFIL3, NIPA2, PPP2R2A, DDX27, AKIRIN2, CHMP1B, YPEL5, B3GNT2, RSRC2, FYTTD1, SOCS1, MAPKAPK2, PDE4B, SUN1, DUSP11, PRDX6, GFOD1, JMJD1C, ZNF281, SLC25A28, ZNF844, ZNF644, PNO1, MAPK8, BNIP3L, RGS2"
"GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY3_POST_IMMUNIZATION_UP",1.13163327348484e-20,2.39151831796462e-18,1.1778932614942,0.631902311354971,2.76830625316455,159,"IL20RA, FOXP1, ATP2B1, ICE1, APP, OSR1, GPR65, LRRN3, CDC42EP3, SNTB1, SMAD4, AMIGO2, PDE3A, FSTL5, PIK3R1, PPM1H, FASLG, PID1, KLF6, BTG3, BCL11B, TFAP4, XPC, CYP4V2, BAG3, PAG1, RPS29, PHF3, TRAT1, KIAA0040, BCL7A, SGMS1, SIT1, PIP5K1B, THEMIS, BTG1, PCMTD1, FILIP1L, TDRP, CD226, ZSCAN26, LRIG1, ABCB1, TMEM154, B4GALT1, PLEKHH3, PIK3IP1, DAPL1, CBX4, SCML4, CYTIP, PARP16, ZNF652, LFNG, RRM2B, FOXO3, IL7R, PITX1, HEATR6, TRIM56, PROS1, GALNT10, ARL4C, SKI, OTUD1, BCL9L, CFL2, PPM1B, LRRC23, CYLD, BIRC2, GPRASP1, DYRK2, PXYLP1, ARHGAP5, RPL12"
"GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_UP",8.20688426950451e-22,2.08126585074634e-19,1.21254456769062,0.618135198486071,2.76185049861148,182,"ATP2B1, PCMTD2, SCML1, RPL10L, PFN2, PIK3R1, APBA2, UBL3, YTHDF3, IRS2, KLF6, MYLIP, PELI1, CITED2, TMEM123, CHD1, RIPOR2, CRY2, SLC2A3, HECA, ZFP36L2, SIK1, SORL1, JADE2, RAB11FIP2, ANXA1, MXI1, KLF3, KLRG1, PTGER4, PLCL2, USP34, ADD3, CXCR4, PATJ, ARL4A, NEFL, SPINK2, SERINC5, KLF7, USP3, GPR183, NR3C2, ATXN7, SMURF1, PIK3IP1, DYRK1A, ATG14, MGP, CCNL1, DSTYK, KLF2, KLF11, MGAT4A, IL7R, MED6, PXN, LEPROTL1, TIPARP, PRKCB, ARL4C, NR4A2, EPHA4, LPIN1, MAPK1IP1L, CREBBP, VCPKMT, FOS, KANSL2, TMEM185B, CKAP4, HBB, LYPD3, PIAS2, CDR2, GPRASP1, DYRK2, TNFAIP3, DUSP1, SIGIRR, NCK2, RALGAPA1, TXNIP, SARAF, HLA-G, CIRBP, KIAA0513, CRTC3, JAM3, TOB1, FAM13A, DNAJB1, HLA-F, FOSB, LMX1B, TSPYL1, TSPOAP1, ZNF331, RNF11, ITPR3, CNOT2, YPEL5, RASSF8"
