"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION",2.4898047404482e-06,0.000497960948089639,0.627256739718528,0.712074257086142,2.19248559527539,28,"RFC3, RPA3, RFC1, PRIM2, MCM10, RPA2, WDHD1, RFC2, GINS4, MCM6, GINS1, RFC5, RPA1, POLA1, GINS2, POLA2"
"KEGG_MEDICUS_REFERENCE_ITGA_B_RHOGEF_RHOA_SIGNALING_PATHWAY",0.000222115540682403,0.00695388609940149,0.518848077743792,0.715042049214695,2.05875846566705,20,"ITGB5, ITGA1, ITGB1, ARHGEF28, ITGA4, ITGB6, ITGA8, ITGA2, ITGAV, PTK2, ITGA9"
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION",4.84303351619318e-05,0.00484303351619318,0.557332238758646,0.663619900314298,2.0432940212318,28,"RFC3, RPA3, RFC1, RPA2, POLK, RAD51D, RFC2, XRCC2, RFC5, RPA1, RPA4, RAD54B, RAD54L, BRCA2"
"KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_RAC_SIGNALING_PATHWAY",0.00016370771637345,0.00695388609940149,0.518848077743792,0.660532184678446,1.99967688232984,26,"ITGB5, ITGA1, ITGB1, ITGA4, ITGB6, RAC1, ITGA8, ITGA2, ITGAV, PTK2, ITGA9, PXN, ELMO1"
"KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR",0.000200662176608192,0.00695388609940149,0.518848077743792,0.663785225128979,1.98759632798327,24,"RFC3, RPA3, RFC1, RPA2, PMS2, MLH1, RFC2, RFC5, RPA1"
"KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_CDC42_SIGNALING_PATHWAY",0.00027815544397606,0.00695388609940149,0.49849310876659,0.668380137178822,1.98451716662358,23,"ITGB5, ITGA1, ITGB1, ITGA4, ITGB6, ITGA8, ITGA2, ITGAV, PTK2, ITGA9, PXN"
"KEGG_MEDICUS_REFERENCE_CXCR4_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY",0.00107800737381976,0.0160172194170211,0.45505986738723,0.681296731260538,1.96159850270956,20,"CALM3, GNAQ, CXCR4, NFATC2, PLCG2, PPP3R2, NFATC1, PPP3R1, CALM1, PLCG1, PPP3CA, CALM2"
"KEGG_MEDICUS_REFERENCE_GPCR_PLCB_ITPR_SIGNALING_PATHWAY",0.000330441596226241,0.00734314658280535,0.49849310876659,0.58966446329126,1.95752120062901,38,"GNA14, PTAFR, CHRM3, ADRA1B, PTGFR, PTGER3, GRM1, CYSLTR1, CHRM2, GRM5, GNAQ, CXCR4, BDKRB2, EDNRB, NTSR1"
"KEGG_MEDICUS_REFERENCE_ITGA_B_RHOGAP_RHOA_SIGNALING_PATHWAY",0.00131408837912424,0.0175211783883232,0.45505986738723,0.686341618693658,1.94729300632795,19,"ITGB5, ITGA1, ITGB1, ITGA4, ITGB6, ITGA8, ITGA2, ITGAV, ITGA9, ARHGAP35"
"KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY",0.000261289225163028,0.00695388609940149,0.49849310876659,0.631219077415591,1.94353147993284,28,"ITGB5, ITGA1, ITGB1, ITGA4, ITGB6, ACTN1, ITGA8, ITGA2, ITGAV, PTK2, ITGA9, PXN, ACTN4"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.000823463030157078,0.0149720550937651,0.477270815362862,0.707189922003415,1.92966661649338,17,"TUBA1B, TUBA3C, KLC1, KIF5B, TUBB, TUBB2A, HTT, TUBA1C, TUBB4B, KLC2, TUBA1A"
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNAQ_PLCB_G_CALCINEURIN",0.00102198636157265,0.0160172194170211,0.45505986738723,0.7230205658293,1.90017825242219,15,"CALM3, GNAQ, CXCR4, NFATC2, PLCG2, PPP3R2, NFATC1, PPP3R1, CALM1, PLCG1, PPP3CA, CALM2"
"KEGG_MEDICUS_REFERENCE_MICROTUBULE_NUCLEATION",0.00163858326372752,0.0182064807080836,0.45505986738723,0.642789784912663,1.89681152478586,22,"TUBA1B, TUBA3C, CDK5RAP2, MZT2A, NEDD1, TUBB, TUBB2A"
"KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_CALCINEURIN_SIGNALING_PATHWAY",0.00112120535919148,0.0160172194170211,0.45505986738723,0.721139385315548,1.89523430135074,15,"CALM3, EGF, NFATC2, EGFR, PLCG2, PPP3R2, NFATC1, PPP3R1, CALM1, PLCG1, PPP3CA, CALM2"
"KEGG_MEDICUS_REFERENCE_ANTEROGRADE_AXONAL_TRANSPORT",0.0019631906699843,0.0186791488895612,0.431707695803346,0.700930392750816,1.89164707656162,16,"TUBA1B, TUBA3C, KLC1, KIF5B, TUBB, TUBB2A, TUBA1C, TUBB4B, KLC2, TUBA1A"
"KEGG_MEDICUS_REFERENCE_ARL8_REGULATED_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT",0.000384274202563653,0.00768548405127306,0.49849310876659,0.61756194924565,1.88931289147606,27,"TUBA1B, TUBA3C, KLC1, BORCS5, KIF5B, TUBB, TUBB2A, BORCS7, TUBA1C, TUBB4B, KLC2, TUBA1A"
"KEGG_MEDICUS_REFERENCE_MICROTUBULE_DEPOLYMERIZATION",0.0021964338304026,0.0186791488895612,0.431707695803346,0.697043933260084,1.88115843202594,16,"TUBA1B, TUBA3C, TUBB, KIF2C, TUBB2A, MAPRE3, MAPRE1, TUBA1C, TUBB4B, TUBA1A"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SIFA_TO_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT",0.00175536421603401,0.0184775180635159,0.45505986738723,0.6840772083605,1.86660034455478,17,"TUBA1B, TUBA3C, KLC1, KIF5B, TUBB, TUBB2A, TUBA1C, TUBB4B, KLC2, TUBA1A"
"KEGG_MEDICUS_REFERENCE_ITGA_B_RHOG_RAC_SIGNALING_PATHWAY",0.00161004529630337,0.0182064807080836,0.45505986738723,0.618651115278161,1.86536775373513,25,"ITGB5, ITGA1, ITGB1, ITGA4, ITGB6, RAC1, ITGA8, ITGA2, ITGAV, ITGA9, ELMO1, RHOG, FN1"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.00215717934647607,0.0186791488895612,0.431707695803346,0.678489515551197,1.85135354317675,17,"TUBA1B, TUBA3C, KLC1, KIF5B, TUBB, TUBB2A, TUBA1C, TUBB4B, KLC2, TUBA1A"
"KEGG_MEDICUS_REFERENCE_PROMOTION_OF_MICROTUBULE_GROWTH",0.00328490830651353,0.0211929568162163,0.431707695803346,0.684958772836302,1.84854341258627,16,"TUBA1B, TUBA3C, CLIP2, TUBB, TUBB2A, MAPRE1, TUBA1C, CLIP1, TUBB4B"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.0022781392464132,0.0186791488895612,0.431707695803346,0.676680443134872,1.84641723605473,17,"TUBA1B, TUBA3C, APP, TUBB, TUBB2A, TUBA1C, TUBB4B, TUBA1A, CDK5R1, CAPN2"
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION",0.000184705801065644,0.00695388609940149,0.518848077743792,0.488404710207641,1.8333132083872,69,"RPS23, RPS14, RPL34, RPS29, RPLP0, RPL7, RPL32, RPS24, RPL39, RPLP1, RPL31, RPL12, RPL6, RPS3, RPL5, RPS3A, RPL9, RPL30, RPL23A, RPL23, RPS19, RPL27A, RPL37A, RPS27, RPS12, RPL19, RPS21, UBA52, RPL14, RPS20, RPS6"
"KEGG_MEDICUS_REFERENCE_LONG_PATCH_BER",0.00359590207012185,0.0213123798841858,0.431707695803346,0.678487926737735,1.83108011347436,16,"RFC3, POLB, RFC1, RFC2, RFC5"
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION",0.00465000347682811,0.0251351539288006,0.407017918923954,0.643582785765412,1.8259773610981,19,"RBX1, VCP, CUL2, UBB, GINS4, MCM6, GINS1, GINS2"
