"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_UV_RESPONSE_DN",1.50249587589813e-18,7.51247937949066e-17,1.11466447751729,0.679372746086024,2.64537979195594,122,"ATXN1, CDKN1B, EFEMP1, ATP2B1, APBB2, TJP1, BMPR1A, CELF2, HAS2, MYC, INPP4B, COL5A2, ADGRL2, DAB2, AMPH, SLC7A1, CITED2, DLG1, ANXA4, PDLIM5, ACVR2A, BCKDHB, SCAF8, SIPA1L1, ICA1, COL1A2, MAGI2, RBPMS, ID1, NFKB1, PEX14, VLDLR, RUNX1, SCHIP1, IRS1, MMP16, FBLN5, PHF3, FHL2, TGFBR3, RND3, KCNMA1, LAMC1, NR3C1, SYNE1, NRP1, KIT, TGFBR2, ZMIZ1, SMAD7, IGF1R, SMAD3, MGMT, BHLHE40"
"HALLMARK_KRAS_SIGNALING_UP",1.03780085763949e-11,2.28227781680895e-10,0.875325132024659,0.5779409523855,2.29467952446758,139,"F13A1, SPP1, TMEM158, IGFBP3, FGF9, INHBA, CCSER2, DUSP6, IGF2, SPRY2, FLT4, TOR1AIP2, MMD, ARG1, BIRC3, PTBP2, ANKH, SATB1, AVL9, MYCN, SCG3, MAP7, PIGR, TRIB2, ETS1, ID2, FBXO4, TRIB1, CCL20, SOX9, RBM4, HSD11B1, BPGM, FUCA1, PTPRR, SCG5, SPON1, CPE, NRP1, ETV1, GPRC5B, ITGB2, TNFRSF1B, LCP1, MAP3K1, PDCD1LG2, ALDH1A3, F2RL1, IKZF1, ADGRL4, CCND2, FCER1G, CSF2, PRELID3B, TRAF1, PRDM1, CXCR4, RELN, GADD45G, ETV4, TFPI, ABCB1, GYPC, WNT7A, MMP10, CDADC1, KIF5C, PECAM1, BTBD3"
"HALLMARK_INFLAMMATORY_RESPONSE",3.46344307719759e-11,4.32930384649699e-10,0.851339057116899,0.565606237236752,2.25497702887525,145,"KCNMB2, ATP2B1, PCDH7, CCL22, HAS2, MYC, INHBA, ATP2A2, SLC7A1, NPFFR2, ACVR2A, IL18, CALCRL, ABI1, LCP2, KLF6, RIPK2, NFKB1, ITGA5, RGS1, CCL20, BST2, OPRK1, GPR183, MEP1A, SEMA4D, IL15RA, CXCL9, CD48, CCL5, TNFSF10, PTGER4, SPHK1, TNFRSF1B, FFAR2, MSR1, IL18R1, CD55, CCL2, AQP9, CXCL11, CD70, IFNAR1, CSF3, SELL, IL12B, RASGRP1, ICAM1, ADGRE1, ABCA1, TPBG, IL15, CD82, LAMP3, TNFSF9, CCR7, RAF1, CHST2, PTPRE, P2RX7, PROK2, ADM, CSF3R, MMP14, LCK, AXL"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.36936669008537e-11,2.28227781680895e-10,0.875325132024659,0.552876336645304,2.23571607219435,168,"ATP2B1, CXCL1, ZBTB10, KLF9, MYC, IRS2, INHBA, ETS2, PDLIM5, IL18, NFAT5, IL6ST, KLF6, GADD45B, BIRC3, CD44, RIPK2, MSC, NFKB1, TGIF1, MARCKS, DUSP2, ID2, TRIB1, CCL20, ZC3H12A, GPR183, TNFAIP2, STAT5A, CCND1, IER5, IL15RA, GADD45A, BTG3, VEGFA, CCL5, SERPINB8, PTGER4, SPHK1, CCL2, CXCL11, KLF2, JUN, BTG1, F2RL1, DUSP4, IL12B, ICAM1, TANK, SMAD3, ABCA1, BHLHE40, SGK1, ACKR3, CSF2, TNFSF9, IER3, TRAF1, FOSB, BCL6, SLC2A3, PTPRE, SAT1, CCL4, NR4A3, PLPP3, MAP3K8, RCAN1, F3, BCL2A1, EIF1, IER2, DUSP1, CDKN1A"
"HALLMARK_MYOGENESIS",9.21153710764829e-10,9.21153710764829e-09,0.801215574617779,0.547643680615744,2.16973785118295,138,"LARGE1, IGFBP7, COL15A1, DAPK2, IGFBP3, WWTR1, SLN, MYOM2, KLF5, SSPN, FST, SGCG, PTGIS, GADD45B, SGCD, PRNP, CASQ2, CACNA1H, LAMA2, BIN1, LPIN1, SCHIP1, PTP4A3, FOXO4, PPP1R3C, COL6A3, APP, TPD52L1, COL6A2, MYOM1, CAMK2B, MYH11, SPHK1, PFKM, MYLK, MYH3, CD36, MYL1, NQO1, SORBS1, NOTCH1, ADCY9, TNNI2, ITGB5, ABLIM1, CKB, MYL6B, BHLHE40, SORBS3, PKIA, GPX3, MEF2D, NCAM1, BDKRB2, FGF2"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1.298411202932e-09,1.08200933577667e-08,0.788186810800237,0.530727935153887,2.11819932846458,152,"CXCL1, EDIL3, SPP1, FBN2, IGFBP3, COL5A2, THBS1, DAB2, INHBA, CXCL12, ECM2, MATN3, THBS2, PLOD2, CDH6, SGCG, SLIT2, COL1A2, SNTB1, GADD45B, SGCD, CD44, OXTR, CAPG, GREM1, ID2, SFRP1, CADM1, ITGA5, FSTL1, LAMA2, FBLN5, FUCA1, WIPF1, COL6A3, DCN, TGFBR3, COL6A2, LAMC1, CDH11, GADD45A, VEGFA, NID2, FBLN1, TIMP3, MYLK, JUN, LAMA3, ITGB5, CDH2, IL15, LAMC2, MEST, SCG2"
"HALLMARK_APOPTOSIS",1.0398209830581e-07,6.10129696810982e-07,0.704975715167238,0.515124901135559,2.04041631887943,137,"CDKN1B, CASP3, FASLG, DPYD, IL18, DAP, GADD45B, BIRC3, ANKH, CD44, LEF1, SATB1, BID, GSTM1, FEZ1, LMNA, CCND1, APP, DCN, TGFBR3, CD38, GADD45A, BTG3, TNFSF10, TIMP3, ISG20, CASP4, JUN, CASP1, SMAD7, CTNNB1, CDC25B, CCND2, MGMT, LGALS3, PPT1, GPX3, SLC20A1, IER3, RNASEL, GUCY2D, PLPPR4, CASP6, IFNB1, CD2, SC5D, AVPR1A, SAT1, NEDD9, PRF1, DFFA, BCL2L11, CDKN1A, PPP3R1, WEE1"
"HALLMARK_G2M_CHECKPOINT",8.88456823332517e-09,6.34612016666084e-08,0.747739663149885,0.49938856310184,2.02423941467484,174,"CDKN1B, RASAL2, SMC2, MYC, EFNA5, MEIS1, SMARCC1, SLC7A1, WRN, ARID4A, FOXN3, MAD2L1, XPO1, RAD21, SRSF2, TMPO, EXO1, NUP98, TOP1, MARCKS, LMNB1, RAD23B, CCND1, MKI67, TRAIP, BUB3, NUP50, KPNA2, RPS6KA5, CKS2, TLE3, CCNT1, HMGN2, TPX2, KIF5B, PRIM2, KNL1, TRA2B, HNRNPD, SMAD3, CDC25B, SLC38A1, PRPF4B, CUL1, SYNCRIP, CDKN3, MAPK14, SLC7A5, UPF1, CDC25A, SRSF10, CBX1"
"HALLMARK_SPERMATOGENESIS",1.42952656706673e-06,7.14763283533367e-06,0.643551836150722,0.536995793209751,2.01688771517571,95,"ARL4A, SPATA6, ACTL7B, AGFG1, TLE4, GRM8, TUBA3C, BRAF, TSN, ADAM2, SCG3, MAP7, GAPDHS, CFTR, MLF1, IL12RB2, DCC, GPR182, LPIN1, SLC2A5, RPL39L, SCG5, CCT6B, ZC3H14, NPHP1, CAMK4, TULP2, ZPBP, POMC, ACRV1, CLVS1, CHFR, CDKN3, ZNRF4, IDE, TNP1, PACRG, PRKAR2A, MEP1B, CCNB2, KIF2C"
"HALLMARK_TGF_BETA_SIGNALING",8.05781239869728e-05,0.000236994482314626,0.538434096309916,0.596479822735107,1.98708322720871,46,"BCAR3, TJP1, BMPR1A, THBS1, WWTR1, ID1, RAB31, TGIF1, ID2, PPM1A, SMAD6, MAP3K7, SMAD7, CTNNB1, HIPK2, SMAD3, SMURF2, SLC20A1, SKI, SPTBN1"
