output_prefix	name	motif_id	cluster	total_tfbs	CD8_Good_mean_score	CD8_Good_bound	CD8_Poor_mean_score	CD8_Poor_bound	CD8_Good_CD8_Poor_change	CD8_Good_CD8_Poor_pvalue	CD8_Good_CD8_Poor_highlighted
Arnt_MA0004.1	Arnt	MA0004.1	C_PHYPA_008731	6875	0.90491	1170	1.01537	1299	0.00375	1.59929E-03	False
PAX6_MA0069.1	PAX6	MA0069.1	C_PAX6	4938	0.45608	136	0.51142	172	0.0705	1.10081E-73	False
RORA_MA0071.1	RORA	MA0071.1	C_RORA	7584	0.43379	197	0.53593	225	-0.01991	1.49266E-31	False
RXRAVDR_MA0074.1	RXRA::VDR	MA0074.1	C_RXRA::VDR	4840	0.56065	223	0.66684	252	-0.004	4.47789E-04	False
REL_MA0101.1	REL	MA0101.1	C_REL	7445	0.62192	478	0.75621	612	-0.04663	1.42944E-63	False
RELA_MA0107.1	RELA	MA0107.1	C_REL	9117	0.62481	584	0.77291	742	-0.06595	5.40460E-78	True
NR1H2RXRA_MA0115.1	NR1H2::RXRA	MA0115.1	C_NR1H2::RXRA	7523	0.49219	277	0.58449	317	0.00842	1.20913E-10	False
Znf423_MA0116.1	Znf423	MA0116.1	C_Znf423	7058	0.67271	500	0.81817	598	-0.05998	1.06906E-73	True
NFICTLX1_MA0119.1	NFIC::TLX1	MA0119.1	C_NFIB	8105	0.53909	422	0.66033	477	-0.03013	4.41437E-43	False
ZNF354C_MA0130.1	ZNF354C	MA0130.1	C_ZNF354C	15330	0.47262	483	0.56929	543	-0.00119	1.17109E-02	False
Pou5f1Sox2_MA0142.1	Pou5f1::Sox2	MA0142.1	C_Pou5f1::Sox2	18985	0.3527	197	0.40499	222	0.06569	1.10464E-98	False
EWSR1-FLI1_MA0149.1	EWSR1-FLI1	MA0149.1	C_EWSR1-FLI1	30563	0.62727	1858	0.74893	2246	-0.02526	5.51969E-70	False
Arid3a_MA0151.1	Arid3a	MA0151.1	C_Arid3a	19534	0.37065	261	0.40306	246	0.09519	2.33442E-115	True
INSM1_MA0155.1	INSM1	MA0155.1	C_INSM1	14275	0.71975	1199	0.86662	1441	-0.05486	3.30880E-83	False
RARARXRA_MA0159.1	RARA::RXRA	MA0159.1	C_RARA::RXRA	8671	0.5506	382	0.66611	429	-0.02912	8.10896E-50	False
PLAG1_MA0163.1	PLAG1	MA0163.1	C_PLAG1	16838	0.81653	1831	0.96159	2164	-0.04168	1.06243E-76	False
Tfcp2l1_MA0145.2	Tfcp2l1	MA0145.2	C_Tfcp2l1	9995	0.67381	706	0.80046	831	-0.02758	9.47601E-51	False
DUX4_MA0468.1	DUX4	MA0468.1	C_DUX4	10593	0.37792	246	0.43695	279	0.0527	1.50318E-76	False
Sox6_MA0515.1	Sox6	MA0515.1	C_Sox6	17560	0.43278	422	0.51021	502	0.03011	5.46681E-58	False
ESR2_MA0258.2	ESR2	MA0258.2	C_ESR2	9696	0.53801	395	0.66612	479	-0.04694	1.65430E-67	False
SREBF1_MA0595.1	SREBF1	MA0595.1	C_SREBF1	8826	0.5485	495	0.66554	571	-0.03032	7.82125E-49	False
SREBF2_MA0596.1	SREBF2	MA0596.1	C_SREBF1	8841	0.50145	356	0.63518	448	-0.0464	5.21534E-67	False
KLF5_MA0599.1	KLF5	MA0599.1	C_KLF5	44017	1.11364	10381	1.26125	11725	-0.03083	1.44814E-80	False
Atf1_MA0604.1	Atf1	MA0604.1	C_Atf1	1797	1.18539	554	1.23031	575	0.12932	4.99756E-82	True
Creb3l2_MA0608.1	Creb3l2	MA0608.1	C_PK24205.1	3524	1.00203	750	1.11282	823	0.00577	2.74598E-06	False
FOXG1_MA0613.1	FOXG1	MA0613.1	C_FKH1	12549	0.42718	326	0.49196	358	0.04539	1.23612E-72	False
Foxj2_MA0614.1	Foxj2	MA0614.1	C_FKH1	9780	0.42451	244	0.47822	260	0.06288	2.83897E-82	False
BHLHE41_MA0636.1	BHLHE41	MA0636.1	C_ARNT2	2407	1.10494	641	1.18631	654	0.04732	5.87258E-39	False
ELF4_MA0641.1	ELF4	MA0641.1	C_ELF2	8575	1.00547	1797	1.12815	2022	-0.00786	1.20659E-07	False
FOXI1_MA0042.2	FOXI1	MA0042.2	C_FKH1	13930	0.42032	373	0.4867	401	0.04045	2.40497E-69	False
FOXL1_MA0033.2	FOXL1	MA0033.2	C_FKH1	10360	0.44099	306	0.50679	330	0.04265	6.16096E-67	False
HNF1B_MA0153.2	HNF1B	MA0153.2	C_HNF1A	8227	0.3518	104	0.38661	99	0.09752	1.51443E-94	True
HSF1_MA0486.2	HSF1	MA0486.2	C_HSFA4A	7452	0.45314	215	0.52063	240	0.04919	5.04728E-60	False
IRF9_MA0653.1	IRF9	MA0653.1	C_IRF7	10145	0.51289	377	0.59264	453	0.03226	3.62552E-48	False
JDP2_MA0655.1	JDP2	MA0655.1	C_fos-1	5185	0.43083	138	0.52999	152	-0.00286	7.53147E-02	False
MEF2B_MA0660.1	MEF2B	MA0660.1	C_MEF2D	15547	0.3799	286	0.42646	262	0.06719	6.78535E-92	False
MLX_MA0663.1	MLX	MA0663.1	C_ARNT2	2853	0.99473	634	1.08011	669	0.03938	1.48181E-40	False
MSC_MA0665.1	MSC	MA0665.1	C_Tcf21	9518	0.51448	316	0.61422	372	-0.00371	1.59698E-03	False
MYF6_MA0667.1	MYF6	MA0667.1	C_MYF6	6525	0.49253	212	0.56607	232	0.03395	4.78257E-51	False
NEUROG2_MA0669.1	NEUROG2	MA0669.1	C_NEUROG2	4724	0.39632	77	0.47184	84	0.024	6.07059E-28	False
Nr2e1_MA0676.1	Nr2e1	MA0676.1	C_tll	12873	0.41934	249	0.46061	244	0.08224	3.75065E-102	False
OLIG2_MA0678.1	OLIG2	MA0678.1	C_OLIG1	3567	0.39734	54	0.42878	53	0.08484	3.29134E-68	False
PAX4_MA0068.2	PAX4	MA0068.2	C_Arx	3188	0.39606	58	0.45378	63	0.05423	2.18331E-53	False
Rxra_MA0512.2	Rxra	MA0512.2	C_PPARD	8134	0.55806	388	0.64974	458	0.01295	9.97834E-25	False
SRF_MA0083.3	SRF	MA0083.3	C_SRF	3508	0.44868	118	0.5227	153	0.03457	7.07776E-39	False
TBXT_MA0009.2	TBXT	MA0009.2	C_TBX19	3719	0.44923	95	0.53058	106	0.03002	3.02096E-40	False
TBX20_MA0689.1	TBX20	MA0689.1	C_TBX20	9765	0.47694	278	0.55551	330	0.02799	1.50600E-50	False
TFAP4_MA0691.1	TFAP4	MA0691.1	C_TFAP4	7075	0.49948	253	0.60943	301	-0.02103	4.75040E-34	False
