"","name","DiffBind_Mean_FC","TOBIAS_Mean_FC"
"200","ZNF211",0.183898991463564,0.1273
"115","ONECUT1",0.372159560978445,0.12225
"15","CDX1",0.162608667559521,0.10444
"153","SOX8",0.0512893142639716,0.10417
"60","HOXA4",0.26029158472093,0.10328
"125","POU4F2",0.581727370335898,0.10011
"50","GMEB2",0.536201051328125,0.09908
"58","HNF1B",0.555845949904046,0.09752
"41","FOXB1",0.554020910517862,0.09124
"173","TFCP2",0.243995483058681,0.09042
"121","PHOX2B",0.493699391502326,0.08929
"87","MSX2",0.313605108417164,0.08861
"5","ATF7",0.409956017073281,0.08712
"32","EN1",0.893092416752887,0.08463
"52","GSX1",0.668521620920551,0.08463
"67","ISX",0.267647467176171,0.08463
"84","MIXL1",0.157912496538341,0.08463
"131","PRRX1",0.135608431485911,0.08463
"178","UNCX",0.218811819466149,0.08463
"181","VSX2",0.311926545415755,0.08435
"75","LMX1A",0.566521130208979,0.08371
"61","HOXA6",0.0983136413043974,0.08265
"124","POU2F1",0.138273499806935,0.08066
"114","OLIG3",0.0344633477129131,0.07901
"123","POU1F1",0.426566670073304,0.07471
"208","ZNF354A",0.0295926521570483,0.07434
"42","FOXD2",0.179036773880983,0.07227
"12","BHLHA15",0.150501528601548,0.0706
"96","NFIL3",0.0322698539490239,0.0663
"63","HOXB4",0.209190742792048,0.06606
"64","HOXC4",0.406339427497489,0.06606
"82","MEOX1",1.8713869533091,0.06516
"53","GSX2",0.515603341707732,0.06466
"83","MEOX2",0.568285145203927,0.06466
"49","GBX1",0.016768825752941,0.06366
"57","HLF",0.459126790557006,0.06256
"197","ZNF157",0.133713770650722,0.05993
"81","MEF2D",0.208502446663973,0.05845
"43","FOXE1",0.0161738741103866,0.05827
"126","POU5F1",0.66016718846906,0.05801
"44","FOXF2",0.372697707985225,0.0579
"91","NEUROG1",0.410241170043023,0.05758
"40","FOSB",0.00417533679028588,0.0567133333333333
"201","ZNF24",0.0615483179513076,0.05199
"19","DMRTA1",0.01102439840171,0.05088
"210","ZNF384",0.0365104308788236,0.05026
"80","MEF2A",0.240762418356891,0.04953
"188","ZBTB32",0.0278002016539409,0.04878
"51","GSC",0.282162029710235,0.04511
"117","OTX1",0.198862504718387,0.04511
"46","FOXO4",0.571808942771376,0.04265
"3","ATF2",0.0635739097671133,0.04251
"36","ETV3",0.391394644007348,0.04047
"85","MLX",0.00711258149842236,0.03938
"37","ETV4",0.0489628874101527,0.03836
"6","ATOH7",0.00310409708246802,0.0381
"20","DMRTA2",0.0610344761882586,0.03732
"216","ZNF677",0.566446416603887,0.03633
"152","SOX4",0.009450017171333,0.03621
"166","TCF7L1",0.028650323993881,0.03576
"62","HOXA9",0.0737459851427791,0.03526
"65","HSF2",0.00701013187196461,0.03417
"4","ATF4",0.0438947301340341,0.03288
"66","IRF9",0.15675251246213,0.03226
"189","ZBTB33",0.034025188386748,0.03183
"8","BACH2",0.0540035569032868,0.030875
"163","TBXT",0.594722284998686,0.03002
"34","ETS1",0.0829907106646407,0.02987
"148","SMAD3",0.0278682627246988,0.02837
"160","TBX20",0.457872253623597,0.02799
"45","FOXO1",0.00374436548351535,0.0276683333333333
"138","RFX2",0.00170309120804053,0.0274
"222","ZNF766",0.00259822915693851,0.02691
"76","MAFF",0.0792797215810885,0.02686
"119","PAX8",0.151241875151943,0.02564
"2","ARNT2",0.542881726458569,0.02552
"169","TEAD1",0.114581043221615,0.02446
"128","PPARD",0.136559361340676,0.02152
"167","TCF7L2",0.00824021832318875,0.0212
"195","ZNF136",0.0394129235564223,0.02112
"168","TCFL5",0.233323201796833,0.02063
"214","ZNF582",0.1303436566242,0.02037
"90","MYBL2",0.0794929267721477,0.0202
"170","TEAD3",0.0543268908298452,0.01984
"146","SIX2",0.0731606856967309,0.01851
"28","ELF1",0.182417675965937,0.0162233333333333
"11","BCL6",0.000886397907258002,0.0159
"99","NFYC",0.273369277152368,0.01551
"113","NR6A1",0.761005185977707,0.01523
"92","NFATC3",0.160099054105976,0.01423
"111","NR3C2",0.13921710459775,0.01201
"225","ZSCAN31",0.00415012599445751,0.01189
"1","ARNT",0.367479986153038,0.01056
"140","RFX7",0.246676055006145,0.01002
"199","ZNF184",0.244125206071531,0.00907
"133","RARB",0.596975636783572,0.00863
"107","NR1H2",0.152889082249747,0.00842
"7","BACH1",0.104780379641274,0.00834
"177","THRB",0.236051509902768,0.0083
"31","ELK4",0.0806567376636524,0.00779
"196","ZNF143",0.639487811908326,0.00754
"16","CREB1",0.798796787788656,0.00636
"161","TBX21",0.163157245471015,0.00629
"120","PBX1",0.199598697944397,0.00608
"139","RFX3",0.133833575608525,0.00455
"86","MNT",0.0237799683132554,0.00375
"129","PPARG",0.713750273713019,0.00282
"22","E2F4",0.0106824998574913,0.00273
"103","NKX2-5",0.0260051818437055,0.00269
"89","MYB",0.276336558904967,0.00227
"118","PAX5",0.209868264945552,0.00207
"145","RXRB",0.254007044650255,0.002035
"209","ZNF354C",-0.246497217765714,-0.00119
"33","EPAS1",-0.00334902418366024,-0.00138
"47","FOXP4",-0.0739660873925056,-0.00143
"106","NR1D2",-0.214630274604748,-0.00246
"56","HEY2",-0.140643829447494,-0.0027
"159","SREBF2",-0.358766718578445,-0.003225
"143","RUNX3",-0.229292173749814,-0.00393
"187","ZBTB26",-0.120763069248714,-0.00433
"94","NFIB",-0.82624416254992,-0.00607
"127","PPARA",-0.380051001371946,-0.00607
"104","NKX2-8",-0.0518576982452782,-0.00615
"30","ELF4",-0.195196989046974,-0.00786
"116","OSR2",-0.24876742511413,-0.00878
"204","ZNF324",-0.0504120020105089,-0.00904
