"","output_prefix","name","motif_id","cluster","total_tfbs","CD8_Good_mean_score","CD8_Good_bound","CD8_Poor_mean_score","CD8_Poor_bound","CD8_Good_CD8_Poor_change","CD8_Good_CD8_Poor_pvalue","CD8_Good_CD8_Poor_highlighted","Significance","negLog10Pval","negLog10Pval_capped","Capped"
"1","PAX6_MA0069.1","PAX6","MA0069.1","C_PAX6",4938,0.45608,136,0.51142,172,0.0705,1.10081e-73,"False","Up_CD8_Good",72.9582876338641,5,"Capped"
"2","RORA_MA0071.1","RORA","MA0071.1","C_RORA",7584,0.43379,197,0.53593,225,-0.01991,1.49266e-31,"False","Not Significant",30.8260391051616,5,"Capped"
"3","RXRAVDR_MA0074.1","RXRA::VDR","MA0074.1","C_RXRA::VDR",4840,0.56065,223,0.66684,252,-0.004,0.000447789,"False","Not Significant",3.34892657913121,3.34892657913121,"Not Capped"
"4","REL_MA0101.1","REL","MA0101.1","C_REL",7445,0.62192,478,0.75621,612,-0.04663,1.42944e-63,"False","Not Significant",62.8448340692083,5,"Capped"
"5","RELA_MA0107.1","RELA","MA0107.1","C_REL",9117,0.62481,584,0.77291,742,-0.06595,5.4046e-78,"True","Up_CD8_Poor",77.2672364431022,5,"Capped"
"6","NR1H2RXRA_MA0115.1","NR1H2::RXRA","MA0115.1","C_NR1H2::RXRA",7523,0.49219,277,0.58449,317,0.00842,1.20913e-10,"False","Not Significant",9.91752700331832,5,"Capped"
"7","NFICTLX1_MA0119.1","NFIC::TLX1","MA0119.1","C_NFIB",8105,0.53909,422,0.66033,477,-0.03013,4.41437e-43,"False","Not Significant",42.3551312683144,5,"Capped"
"8","ZNF354C_MA0130.1","ZNF354C","MA0130.1","C_ZNF354C",15330,0.47262,483,0.56929,543,-0.00119,0.0117109,"False","Not Significant",1.93140972747127,1.93140972747127,"Not Capped"
"9","INSM1_MA0155.1","INSM1","MA0155.1","C_INSM1",14275,0.71975,1199,0.86662,1441,-0.05486,3.3088e-83,"False","Up_CD8_Poor",82.4803294829222,5,"Capped"
"10","RARARXRA_MA0159.1","RARA::RXRA","MA0159.1","C_RARA::RXRA",8671,0.5506,382,0.66611,429,-0.02912,8.10896e-50,"False","Not Significant",49.0910348418707,5,"Capped"
"11","PLAG1_MA0163.1","PLAG1","MA0163.1","C_PLAG1",16838,0.81653,1831,0.96159,2164,-0.04168,1.06243e-76,"False","Not Significant",75.9736996745626,5,"Capped"
"12","DUX4_MA0468.1","DUX4","MA0468.1","C_DUX4",10593,0.37792,246,0.43695,279,0.0527,1.50318e-76,"False","Up_CD8_Good",75.8229890112121,5,"Capped"
"13","ESR2_MA0258.2","ESR2","MA0258.2","C_ESR2",9696,0.53801,395,0.66612,479,-0.04694,1.6543e-67,"False","Not Significant",66.7813857302549,5,"Capped"
"14","SREBF1_MA0595.1","SREBF1","MA0595.1","C_SREBF1",8826,0.5485,495,0.66554,571,-0.03032,7.82125e-49,"False","Not Significant",48.1067238320144,5,"Capped"
"15","SREBF2_MA0596.1","SREBF2","MA0596.1","C_SREBF1",8841,0.50145,356,0.63518,448,-0.0464,5.21534e-67,"False","Not Significant",66.2827173736592,5,"Capped"
"16","KLF5_MA0599.1","KLF5","MA0599.1","C_KLF5",44017,1.11364,10381,1.26125,11725,-0.03083,1.44814e-80,"False","Not Significant",79.8391894503707,5,"Capped"
"17","FOXG1_MA0613.1","FOXG1","MA0613.1","C_FKH1",12549,0.42718,326,0.49196,358,0.04539,1.23612e-72,"False","Not Significant",71.9079393667811,5,"Capped"
"18","BHLHE41_MA0636.1","BHLHE41","MA0636.1","C_ARNT2",2407,1.10494,641,1.18631,654,0.04732,5.87258e-39,"False","Not Significant",38.2311710582759,5,"Capped"
"19","ELF4_MA0641.1","ELF4","MA0641.1","C_ELF2",8575,1.00547,1797,1.12815,2022,-0.00786,1.20659e-07,"False","Not Significant",6.91844027835893,5,"Capped"
"20","FOXI1_MA0042.2","FOXI1","MA0042.2","C_FKH1",13930,0.42032,373,0.4867,401,0.04045,2.40497e-69,"False","Not Significant",68.6188903367187,5,"Capped"
"21","FOXL1_MA0033.2","FOXL1","MA0033.2","C_FKH1",10360,0.44099,306,0.50679,330,0.04265,6.16096e-67,"False","Not Significant",66.210351610852,5,"Capped"
"22","HNF1B_MA0153.2","HNF1B","MA0153.2","C_HNF1A",8227,0.3518,104,0.38661,99,0.09752,1.51443e-94,"True","Up_CD8_Good",93.8197507958315,5,"Capped"
"23","HSF1_MA0486.2","HSF1","MA0486.2","C_HSFA4A",7452,0.45314,215,0.52063,240,0.04919,5.04728e-60,"False","Not Significant",59.2969426019273,5,"Capped"
"24","IRF9_MA0653.1","IRF9","MA0653.1","C_IRF7",10145,0.51289,377,0.59264,453,0.03226,3.62552e-48,"False","Not Significant",47.4406296947662,5,"Capped"
"25","JDP2_MA0655.1","JDP2","MA0655.1","C_fos-1",5185,0.43083,138,0.52999,152,-0.00286,0.0753147,"False","Not Significant",1.12312024948571,1.12312024948571,"Not Capped"
