"","name","CD4_avgLogFC","CD8_avgLogFC"
"1","ABF2",0.06958,0.06797
"2","AG",0.06951,0.07795
"3","AGL1",0.05143,0.07024
"4","AGL13",0.05975,0.06444
"5","AGL3",0.0649,0.07891
"6","AGL6",0.06226,0.05681
"7","AGL63",0.06049,0.06139
"8","AHL12",0.08946,0.06789
"9","AHL13",0.14467,0.10141
"10","AHL20",0.12808,0.09368
"11","AHL25",0.12064,0.09427
"12","ALX3",0.09264,0.08463
"13","ANL2",0.11205,0.1082
"14","AP1",0.05489,0.05326
"15","ARGFX",0.08791,0.10152
"16","ARR1",0.072235,0.06515
"17","ARR11",0.07536,0.07324
"18","AT1G14600",0.08876,0.05285
"19","AT1G19000",0.08842,0.07523
"20","AT1G74840",0.09487,0.05953
"21","AT2G38090",0.10569,0.09563
"22","AT2G38300",0.07137,0.05664
"23","AT2G40260",0.07736,0.06455
"24","AT3G10580",0.12242,0.09052
"25","AT4G12670",0.06558,0.05977
"26","AT5G05790",0.09308,0.06594
"27","AT5G56840",0.10637,0.078
"28","AT5G61620",0.10818,0.08867
"29","BACH2",0.07189,0.09258
"30","BARX1",0.10845,0.08861
"31","BARX2",0.09275,0.07147
"32","BHLHA15",0.09747,0.0706
"33","BHLHE22",0.08485,0.07634
"34","BHLHE23",0.09286,0.08218
"35","BRN2",0.08195,0.05545
"36","BSX",0.10845,0.08861
"37","C15",0.09104,0.11014
"38","CAD1",0.10022,0.05385
"39","CCA1",0.08179,0.08575
"40","CDX1",0.09114,0.10444
"41","CDX2",0.08749,0.12888
"42","CDX4",0.09515,0.10981
"43","CG11085",0.10714,0.10548
"44","CG11294",0.07751,0.09474
"45","CG11617",0.12652,0.0662
"46","CG15696",0.09104,0.11014
"47","CG18599",0.07751,0.08371
"48","CG32105",0.07751,0.09237
"49","CG32532",0.09104,0.09237
"50","CG34031",0.09242,0.095
"51","CG4328",0.11746,0.10493
"52","CG9876",0.09264,0.08463
"53","CIN5",0.14264,0.08447
"54","CUP9",0.0841,0.07063
"55","CUX1",0.07759,0.1382
"56","CUX2",0.08486,0.14356
"57","D1",0.11847,0.08384
"58","D19B",0.05758,0.07578
"59","DLX1",0.10845,0.08861
"60","DLX6",0.10845,0.08463
"61","DMRTC2",0.12354,0.05705
"62","DRGX",0.07346,0.06949
"63","DUX4",0.08611,0.0527
"64","DUXA",0.09369,0.06478
"65","E5",0.09264,0.08463
"66","EFM",0.07821,0.09746
"67","EIL4",0.07594,0.07118
"68","EMX1",0.09264,0.08463
"69","EMX2",0.09264,0.08463
"70","EN1",0.09264,0.08463
"71","EN2",0.07854,0.06364
"72","ERF",0.06428,0.05544
"73","ESX1",0.07807,0.08435
"74","ETV2",0.05825,0.05435
"75","ETV5",0.05428,0.05587
"76","EVX1",0.09264,0.08463
"77","EVX2",0.09264,0.08463
"78","FOXB1",0.10479,0.09124
"79","FOXC1",0.0923,0.0793
"80","FOXC2",0.07085,0.07796
"81","FOXD2",0.08526,0.07227
"82","FOXD3",0.08406,0.06983
"83","FOXE1",0.05755,0.05827
"84","FOXF2",0.07809,0.0579
"85","FOXH1",0.07204,0.07003
"86","GATA1",0.07394,0.07592
"87","GBX1",0.07855,0.06366
"88","GBX2",0.10845,0.08861
"89","GSX1",0.09264,0.08463
"90","GSX2",0.07799,0.06466
"91","GZF3",0.10184,0.0558
"92","HAT1",0.09631,0.0867
"93","HAT2",0.10583,0.10784
"94","HAT22",0.10459,0.10276
"95","HAT5",0.09977,0.1007
