"","CD4_avgLogFC","CD8_avgLogFC"
"HHO5",0.06675,0.06842
"PAX6",0.0629,0.0705
"D19B",0.05758,0.07578
"WRKY50",0.05818,0.07211
"MEF2B",0.05371,0.06719
"AGL1",0.05143,0.07024
"JUND",0.05161,0.07124
"WRKY71",0.06572,0.05171
"ERF",0.06428,0.05544
"NAC020",0.06397,0.053
"WRKY59",0.06495,0.05408
"AT4G12670",0.06558,0.05977
"HOXD3",0.07088,0.06088
"AT2G38300",0.07137,0.05664
"MEF2C",0.07004,0.05651
"MEF2D",0.06953,0.05845
"TRB2",0.06813,0.05773
"HCM1",0.05482,0.05609
"NAC011",0.05491,0.05825
"AP1",0.05489,0.05326
"TOS8",0.05397,0.05315
"ETV2",0.05825,0.05435
"MYB3R5",0.05823,0.05386
"HSFA4A",0.05623,0.05227
"MYB24",0.05755,0.05203
"AGL13",0.05975,0.06444
"MYB80",0.06185,0.06223
"AGL63",0.06049,0.06139
"MYB93",0.06084,0.06043
"AGL6",0.06226,0.05681
"MYB121",0.05995,0.05664
"FOXE1",0.05755,0.05827
"KAN4",0.05862,0.06136
"WRKY45",0.05954,0.05983
"JUN",0.05299,0.0875775
"PITX2",0.05329,0.08337
"SOX14",0.06741,0.09442
"SOX9",0.06393,0.09414
"HOXC13",0.06168,0.08777
"MYB101",0.06036,0.09224
"MYB56",0.05754,0.09172
"HOXC12",0.07537,0.06889
"TSO1",0.07586,0.06756
"EN2",0.07854,0.06364
"PRRX2",0.07855,0.06366
"GBX1",0.07855,0.06366
"LHX9",0.07855,0.06366
"MEOX2",0.07629,0.06466
"AT2G40260",0.07736,0.06455
"MEOX1",0.07766,0.06516
"LHX5",0.07799,0.06466
"GSX2",0.07799,0.06466
"HOXA3",0.07799,0.06466
"ARR1",0.072235,0.06515
"ABF2",0.06958,0.06797
"HOXD10",0.06997,0.06604
"ARR11",0.07536,0.07324
"EIL4",0.07594,0.07118
"HRS1",0.07513,0.07052
"DRGX",0.07346,0.06949
"MGA1",0.07387,0.07133
"TCX3",0.07176,0.07245
"MYB59",0.07093,0.07053
"FOXH1",0.07204,0.07003
"NAC058",0.07222,0.06986
"HOXD11",0.08138,0.08079
"LMX1B",0.08271,0.07674
"PHL1",0.08336,0.0775
"NAC010",0.08422,0.07825
"SRY",0.08436,0.07707
"VSX2",0.07807,0.08435
"VSX1",0.07807,0.08435
"ESX1",0.07807,0.08435
"NOTO",0.07807,0.08435
"PHL7",0.07682,0.08377
"VAX1",0.07751,0.08371
"CG18599",0.07751,0.08371
"LMX1A",0.07751,0.08371
"SOX18",0.08431,0.08477
"STB3",0.08431,0.08314
"CCA1",0.08179,0.08575
"OLIG2",0.08285,0.08484
"ZHD10",0.08215,0.08398
"RLM1",0.06415,0.0829
"AGL3",0.0649,0.07891
"SKO1",0.06264,0.07966
"GATA1",0.07394,0.07592
"SEP1",0.0706,0.07604
"TAL1",0.07021,0.07592
"FOXC2",0.07085,0.07796
"AG",0.06951,0.07795
"HOXB13",0.06918,0.078355
"MEIS1",0.07126,0.08643
"NAC031",0.07035,0.08476
"LHX6",0.07373,0.08076
"MYB113",0.0718,0.08188
"BHLHE22",0.08485,0.008175
"DMRTC2",0.12354,0.05705
"NTL9",0.12718,0.05138
"CG11617",0.12652,0.0662
"SPL8",0.12239,0.06767
"HOXB8",0.11353,0.06717
"PHOX2A",0.11722,0.07645
"POU5F1B",0.11339,0.07331
"SPL8D1",0.11283,0.07322
"HOXD4",0.08693,0.06606
"HOXB4",0.08693,0.06606
"HOXC4",0.08693,0.06606
"AHL12",0.08946,0.06789
"KAN1",0.08932,0.07041
"FOXD2",0.08526,0.07227
"TCX6",0.08753,0.07242
"NAC087",0.08479,0.06796
"SOL1",0.08602,0.06982
"CUP9",0.0841,0.07063
"FOXD3",0.08406,0.06983
"SUM1",0.09195,0.07585
"AT1G19000",0.08842,0.07523
"ZNF354A",0.09014,0.07434
"BHLHE23",0.09286,0.08218
"RVE4",0.09276,0.08109
"RVE5",0.09321,0.07967
"FOXC1",0.0923,0.0793
"RVE1",0.09176,0.07983
"POU6F1",0.08926,0.08272
"NAC038",0.08722,0.08054
"OLIG3",0.08678,0.07901
"RVE8",0.09839,0.07615
"ZHD6",0.09895,0.07974
"RVE6",0.09553,0.07989
"SFP1",0.09667,0.07829
"BARX2",0.09275,0.07147
"BHLHA15",0.09747,0.0706
"CAD1",0.10022,0.05385
"GZF3",0.10184,0.0558
"AT1G74840",0.09487,0.05953
"AT5G05790",0.09308,0.06594
"DUXA",0.09369,0.06478
"NFIL3",0.09668,0.0663
"SOX21",0.09949,0.06488
"NEUROG1",0.07534,0.05758
"FOXF2",0.07809,0.0579
"HOXB1",0.07799,0.05968
"LBX1",0.07855,0.059
"BRN2",0.08195,0.05545
"NAC043",0.08347,0.05342
"POU6F2",0.08392,0.05424
"OS02G0104500",0.07887,0.05238
"VENTX",0.08132,0.05315
"ZNF24",0.08056,0.05199
"DUX4",0.08611,0.0527
"PAX4",0.08947,0.05423
"AT1G14600",0.08876,0.05285
"NAC005",0.08888,0.05324
"OLIG1",0.08273,0.06238
"TCX2",0.08042,0.06074
"MATALPHA2",0.08181,0.05929
"ZHD5",0.08224,0.06021
"POU5F1",0.08853,0.05801
"ZNF157",0.08729,0.05993
"HLF",0.08606,0.06256
"POU2F3",0.08812,0.06247
"SPT2",0.08904,0.06116
"SPT15",0.15663,0.13071
"AHL13",0.14467,0.10141
"POU4F1",0.13554,0.10051
"CIN5",0.14264,0.08447
"PHO2",0.15188,0.08965
"TBP",0.12575,0.12039
"MOT2",0.13077,0.1174
"POU4F3",0.12596,0.11477
"HHEX",0.09943,0.11554
"HOXA10",0.09849,0.12002
"ONECUT1",0.11204,0.12225
"SPL15B",0.10634,0.11598
"POU4F2",0.11395,0.10011
"HDG7",0.11332,0.10394
"PBX2",0.11131,0.10316
"CG4328",0.11746,0.10493
"ANL2",0.11205,0.1082
"HDG1",0.11384,0.10972
"HAT22",0.10459,0.10276
"ZHD3",0.10381,0.10527
"CG11085",0.10714,0.10548
"HAT2",0.10583,0.10784
"MEIS2",0.10851,0.10022
"AT2G38090",0.10569,0.09563
"REV",0.1063,0.09818
"PHOX2B",0.1182,0.08929
"POU3F3",0.11492,0.09055
"HNF1A",0.11418,0.09601
"AHL25",0.12064,0.09427
"HNF1B",0.11826,0.09752
"AHL20",0.12808,0.09368
"AT3G10580",0.12242,0.09052
"POU3F1",0.12416,0.08537
"HAT1",0.09631,0.0867
"RVE7L",0.09551,0.08594
"KAN2",0.09371,0.08527
"VAX2",0.09264,0.08463
"UNCX",0.09264,0.08463
"TLX2",0.09264,0.08463
"SHOX",0.09264,0.08463
"RAX2",0.09264,0.08463
"RAX",0.09264,0.08463
"PRRX1",0.09264,0.08463
"PDX1",0.09264,0.08463
"MNX1",0.09264,0.08463
"MIXL1",0.09264,0.08463
"ISX",0.09264,0.08463
"HOXC8",0.09264,0.08463
"HOXB5",0.09264,0.08463
