"","seqnames","start","end","width","strand","Conc","Conc_good","Conc_poor","Fold","p.value","FDR","G08CD8_S145930","G09CD8_S145931","G48CD8_S145920","G58CD8_S145928","G70CD8_S145926","G27CD8_S145935","G44CD8_S145922","G50CD8_S145937","G52CD8_S145932","G81CD8_S145924","GREAT_SYMBOL","Distance","Significance","negLog10Pval","negLog10Pval_capped","Capped"
"22467","chr4",1511667,1512067,401,"*",4.63445801766955,3.91789617219243,5.11105126419872,-1.08970896222687,7.29451497363071e-05,0.414153382142857,20.13,10.12,11.71,14.61,19,38.83,22.37,31.38,49.11,31.11,"NKX1-1","-105536","Significant",4.13700357988824,4.13700357988824,"Not Capped"
"25727","chr19",56507567,56507967,401,"*",5.02489198360877,5.37247250392498,4.56606003949651,0.900222395775021,0.000147906810529038,0.511610653435498,55.16,27.74,32.1,40.05,52.08,26.61,15.33,21.51,33.66,21.32,"ZNF471","-76","Significant",3.83001182798362,3.83001182798362,"Not Capped"
"5466","chr19",56477310,56477710,401,"*",4.6821885226776,5.03484111651533,4.21444315713755,0.913096331158431,0.000449678255607408,0.851031088012207,43.65,21.95,25.4,31.69,41.22,20.86,12.01,16.86,26.38,16.71,"ZNF667","-180","Significant",3.34709811242768,3.34709811242768,"Not Capped"
"7655","chr14",58331063,58331463,401,"*",4.80811945922203,5.14242879277183,4.37220746987585,0.863610801960554,0.000565091671668961,0.943636610314027,47.03,23.65,27.37,34.14,44.41,23.27,13.4,18.8,29.43,18.64,"ARID4A","+32878","Significant",3.24788109329468,3.24788109329468,"Not Capped"
"13135","chr3",194134892,194135292,401,"*",4.61364669215693,4.02227981241983,5.03187575108428,-0.907160483373071,0.000805828808618267,0.999789157560756,21.64,10.88,12.59,15.71,20.43,36.76,21.17,29.7,46.49,29.45,"HES1","-1053","Significant",3.09375721051391,3.09375721051391,"Not Capped"
"16416","chr19",57191340,57191740,401,"*",4.85055132812323,5.16104225708744,4.45437656221159,0.800499944704668,0.00108740957792436,0.999789157560756,47.64,23.96,27.72,34.59,44.98,24.63,14.19,19.91,31.15,19.74,"ZNF264","+40","Significant",2.96360684604336,2.96360684604336,"Not Capped"
"19687","chr5",52060662,52061062,401,"*",3.03524242716424,3.71262219253699,1.71607957543492,2.04906111973842,0.00113906324961317,0.999789157560756,17.46,8.78,10.16,12.67,16.48,3.69,2.13,2.98,4.67,2.96,"ISL1","+677471","Significant",2.94345215985828,2.94345215985828,"Not Capped"
"20720","chr20",25853643,25854043,401,"*",3.69551745702549,2.78169790504841,4.25056987248673,-1.35614487107026,0.00130921307810749,0.999789157560756,9.16,4.61,5.33,6.65,8.65,21.39,12.32,17.28,27.05,17.14,"ZNF337","-166886","Significant",2.88298966504938,2.88298966504938,"Not Capped"
"20830","chr5",57298243,57298643,401,"*",4.19603397831737,4.58466671953895,3.66247396332669,1.01201275757042,0.00169203994022837,0.999789157560756,31.95,16.07,18.59,23.2,30.17,14.23,8.2,11.5,17.99,11.4,"GPBP1","+124495","Significant",2.77158938975086,2.77158938975086,"Not Capped"
"23444","chr19",17246119,17246519,401,"*",4.44692526257206,3.90904961440769,4.83783019770448,-0.826379810403125,0.00408973793386512,0.999789157560756,20,10.06,11.64,14.52,18.89,32.13,18.51,25.97,40.64,25.74,"NR2F6","-379","Significant",2.38830452023782,2.38830452023782,"Not Capped"
"25947","chr1",18575511,18575911,401,"*",3.83451794600766,4.23732160782452,3.2737162275693,1.05129143759784,0.00574184051358592,0.999789157560756,25.11,12.63,14.61,18.23,23.71,10.87,6.26,8.78,13.74,8.71,"PAX7","-55295","Significant",2.24094887471508,2.24094887471508,"Not Capped"
"27149","chr1",58941849,58942249,401,"*",4.19692656317036,3.61861177088524,4.60862868599046,-0.88621412905988,0.00633545178998273,0.999789157560756,16.35,8.23,9.52,11.87,15.44,27.41,15.79,22.15,34.67,21.96,"JUN","-157722","Significant",2.19822240952556,2.19822240952556,"Not Capped"
"1209","chr19",52942360,52942760,401,"*",4.98180594825232,5.22488455802073,4.68930333819283,0.630410657512408,0.00748513566789959,0.999789157560756,49.79,25.04,28.98,36.15,47.02,28.99,16.7,23.43,36.66,23.23,"ZNF888","-19079","Significant",2.12580032367281,2.12580032367281,"Not Capped"
"1864","chr4",102598397,102598797,401,"*",4.45831560429257,3.96352931796222,4.8260592656747,-0.760748028169725,0.00788824844450391,0.999789157560756,20.77,10.45,12.09,15.08,19.61,31.87,18.36,25.76,40.31,25.54,"NFKB1","+97268","Significant",2.10301941951995,2.10301941951995,"Not Capped"
"2520","chr20",2688037,2688437,401,"*",4.30458470350363,4.61622409516338,3.90653364866582,0.801745153430242,0.00826491481552037,0.999789157560756,32.66,16.42,19,23.71,30.84,16.85,9.71,13.62,21.31,13.5,"EBF4","-4641","Significant",2.08276161823774,2.08276161823774,"Not Capped"
"3398","chr4",102501136,102501536,401,"*",5.30574701330284,4.91823141167121,5.61090637826257,-0.593348422540876,0.00868982465517239,0.999789157560756,40.26,20.25,23.43,29.23,38.02,54.91,31.63,44.37,69.45,44,"NFKB1","+7","Significant",2.06098898673423,2.06098898673423,"Not Capped"
"4163","chr8",127993017,127993417,401,"*",4.54882446947675,4.82345471610701,4.20932596252825,0.707682905791189,0.00913675602612139,0.999789157560756,37.7,18.96,21.94,27.37,35.6,20.78,11.97,16.8,26.29,16.65,"MYC","+257148","Significant",2.03920797166521,2.03920797166521,"Not Capped"
"4603","chr19",32345457,32345857,401,"*",5.03313506394627,5.26630416509856,4.75487677344826,0.606508976945277,0.00937811853561859,0.999789157560756,51.25,25.77,29.82,37.2,48.39,30.33,17.47,24.52,38.37,24.31,"ZNF507","+63","Significant",2.02788428225619,2.02788428225619,"Not Capped"
"4931","chr6",42423021,42423421,401,"*",3.08653827345642,3.63128640701499,2.20086358305623,1.50232970616877,0.00951619197173164,0.999789157560756,16.5,8.3,9.6,11.98,15.58,5.17,2.98,4.17,6.53,4.14,"TRERF1","+28830","Significant",2.02153680545121,2.02153680545121,"Not Capped"
"5035","chr19",37210452,37210852,401,"*",4.80642552917735,5.05449756019961,4.50665400327466,0.642286509149979,0.00953398835732737,0.999789157560756,44.25,22.25,25.75,32.12,41.78,25.54,14.71,20.64,32.3,20.46,"ZNF585B","-103","Significant",2.02072538275842,2.02072538275842,"Not Capped"
"5577","chr7",332559,332959,401,"*",4.82789915201408,4.41077411834091,5.15107831918842,-0.640046641177035,0.009765901526968,0.999789157560756,28.32,14.24,16.48,20.56,26.74,39.92,23,32.26,50.49,31.99,"FOXL3","+42589","Significant",2.01028765917436,2.01028765917436,"Not Capped"
"6122","chr7",27220306,27220706,401,"*",3.60788347870579,2.88086819994192,4.08902478643512,-1.09860867672443,0.0100023467960086,0.999789157560756,9.81,4.93,5.71,7.12,9.26,19.12,11.01,15.45,24.18,15.32,"HOXA13","-20400","Significant",1.99989809190174,1.99989809190174,"Not Capped"
"7110","chr17",43654114,43654514,401,"*",2.69977363611082,3.34009348384374,1.51968805685101,1.8713869533091,0.0105698625447907,0.999789157560756,13.48,6.78,7.85,9.79,12.73,3.22,1.86,2.6,4.07,2.58,"MEOX1","+7640","Significant",1.9759306604151,1.9759306604151,"Not Capped"
"7326","chr8",105318850,105319250,401,"*",3.66249908363982,2.96458081569901,4.13086230631136,-1.05718332516805,0.0106696048524381,0.999789157560756,10.39,5.23,6.05,7.55,9.81,19.68,11.34,15.91,24.9,15.77,"ZFPM2","+358","Significant",1.97185166432281,1.97185166432281,"Not Capped"
"12694","chrX",71095712,71096455,744,"*",5.16076957539123,5.37944724512724,4.90291980481902,0.571808942771376,0.0127882830482226,0.999789157560756,55.43,27.88,32.26,40.24,52.34,33.61,19.36,27.16,42.51,26.93,"FOXO4","-113","Significant",1.89318775987918,1.89318775987918,"Not Capped"
"13246","chr19",21569134,21569534,401,"*",4.48405323397676,4.02461444662621,4.83198063378865,-0.705661899633939,0.0132655290391644,0.999789157560756,21.67,10.9,12.61,15.73,20.46,32,18.43,25.86,40.47,25.64,"ZNF429","+63770","Significant",1.87727542534933,1.87727542534933,"Not Capped"
"13464","chr20",31605073,31605473,401,"*",4.90803192135559,4.51324024425638,5.21767472830107,-0.604510349737242,0.0132856137891572,0.999789157560756,30.41,15.29,17.7,22.07,28.71,41.81,24.08,33.79,52.88,33.5,"ID1","-10","Significant",1.87661837658782,1.87661837658782,"Not Capped"
"14554","chr4",108113396,108113796,401,"*",4.35019599183754,4.63220162989561,3.99933493135403,0.725590258561833,0.0141796410786412,0.999789157560756,33.02,16.61,19.22,23.97,31.18,17.97,10.35,14.52,22.73,14.4,"LEF1","+54826","Significant",1.84833476206821,1.84833476206821,"Not Capped"
"16417","chr14",68548571,68548971,401,"*",3.53000105274364,2.79506005838916,4.01455932376484,-1.1077297712204,0.0153408678124564,0.999789157560756,9.24,4.65,5.38,6.71,8.73,18.16,10.46,14.67,22.97,14.55,"ZFP36L1","+244469","Significant",1.81415007223183,1.81415007223183,"Not Capped"
"18378","chr3",71050531,71050931,401,"*",3.68906339278402,3.03629591267656,4.13684462224395,-0.992750447642922,0.0163689024895757,0.999789157560756,10.92,5.49,6.36,7.93,10.31,19.76,11.39,15.97,25,15.84,"FOXP1","+533258","Significant",1.78598043840723,1.78598043840723,"Not Capped"
"19140","chr14",75278549,75278949,401,"*",5.80210258305916,5.45411948581118,6.08224919105516,-0.529571988342128,0.0165722568224101,0.999789157560756,58.37,29.36,33.97,42.38,55.12,76.12,43.85,61.52,96.28,60.99,"FOS","-25","Significant",1.78061834500376,1.78061834500376,"Not Capped"
"20143","chr9",70494400,70494800,401,"*",3.19152982014386,3.66607901570828,2.47963089011321,1.2646911501899,0.0170167615236531,0.999789157560756,16.9,8.5,9.84,12.27,15.96,6.27,3.61,5.06,7.93,5.02,"KLF9","-79976","Significant",1.7691230873907,1.7691230873907,"Not Capped"
"20383","chr12",115355113,115355513,401,"*",2.73118809779346,3.31782092318638,1.7261654891179,1.65064462052258,0.0185168950003233,0.999789157560756,13.28,6.68,7.73,9.64,12.54,3.72,2.14,3,4.7,2.98,"TBX3","-671723","Significant",1.73243183608171,1.73243183608171,"Not Capped"
