"","seqnames","start","end","width","strand","Conc","Conc_good","Conc_poor","Fold","p.value","FDR","G08CD4_S145927","G09CD4_S145929","G48CD4_S145936","G58CD4_S145925","G70CD4_S145923","G44CD4_S145919","G50CD4_S145934","G52CD4_S145933","G81CD4_S145921","GREAT_SYMBOL","Distance","Significance","negLog10Pval","negLog10Pval_capped","Capped"
"28","chr19",8343114,8343514,401,"*",5.39604482238824,5.19672082945159,5.61178774896718,-0.201109681084401,0.351700807202854,0.999820495462944,30.73,42.03,25.37,46.27,38.97,54.59,30.47,71.07,39.48,"ANGPTL4","-20837","Not Significant",0.453826634914951,0.453826634914951,"Not Capped"
"43","chr3",46558326,46558726,401,"*",4.52856975468823,4.29304175662057,4.77744748159562,-0.26977866140322,0.352229526492685,0.999820495462944,16.42,22.47,13.56,24.73,20.83,30.61,17.09,39.86,22.14,"TDGF1","-18711","Not Significant",0.453174241056531,0.453174241056531,"Not Capped"
"49","chr5",9545758,9546158,401,"*",4.36218727231271,4.11550947739289,4.62095485053142,-0.290369996035642,0.352358827227496,0.999820495462944,14.52,19.87,11.99,21.87,18.42,27.47,15.33,35.76,19.86,"SEMA5A","+117","Not Significant",0.453014844166224,0.453014844166224,"Not Capped"
"68","chr9",32384450,32384850,401,"*",5.87422414899443,5.85968910683976,5.89218941103562,0.180449892784975,0.352724716303038,0.999820495462944,48.65,66.55,40.17,73.27,61.71,66.3,37.01,86.31,47.94,"ACO1","+30","Not Significant",0.452564107165713,0.452564107165713,"Not Capped"
"72","chr6",149963860,149964260,401,"*",4.83040833877346,4.84205770544514,4.81571309177765,0.238581920111472,0.352759104458843,0.999820495462944,24.03,32.87,19.84,36.19,30.48,31.44,17.55,40.93,22.73,"ULBP1","+53","Not Significant",0.452521768600658,0.452521768600658,"Not Capped"
"84","chr5",135878029,135878429,401,"*",3.16946822209384,3.29940276279331,2.98863760651536,0.51682172612397,0.353066210057295,0.999820495462944,8.25,11.28,6.81,12.42,10.46,8.86,4.95,11.54,6.41,"IL9","+17598","Not Significant",0.452143844283003,0.452143844283003,"Not Capped"
"99","chr16",70604869,70605269,401,"*",3.28387801357853,2.55914115378468,3.86268705570698,-1.07583895106646,0.047504825740921,0.999820495462944,4.94,6.75,4.08,7.44,6.26,16.24,9.07,21.14,11.74,"IL34","+25174","Significant",1.32326227066566,1.32326227066566,"Not Capped"
"102","chr22",38531734,38532134,401,"*",3.61555843109911,3.30072227178141,3.93178776930613,-0.413486685965224,0.353542654043238,0.999820495462944,8.26,11.29,6.82,12.43,10.47,17.04,9.51,22.18,12.32,"DDX17","-25597","Not Significant",0.451558182155337,0.451558182155337,"Not Capped"
"133","chr20",59385151,59385551,401,"*",4.08802594700694,3.60803838632501,4.52500885714617,-0.698477045338398,0.0476425950079657,0.999820495462944,10.22,13.97,8.43,15.38,12.96,25.7,14.35,33.46,18.59,"EDN3","+84924","Significant",1.32200459129198,1.32200459129198,"Not Capped"
"137","chr2",78712857,78713257,401,"*",2.92109981708987,2.51796642438646,3.30485376469141,-0.563823199283443,0.354320535746797,0.999820495462944,4.8,6.56,3.96,7.23,6.09,11.03,6.16,14.36,7.98,"REG3G","-312644","Not Significant",0.450603676052205,0.450603676052205,"Not Capped"
