"","seqnames","start","end","width","strand","Conc","Conc_good","Conc_poor","Fold","p.value","FDR","G08CD4_S145927","G09CD4_S145929","G48CD4_S145936","G58CD4_S145925","G70CD4_S145923","G44CD4_S145919","G50CD4_S145934","G52CD4_S145933","G81CD4_S145921","SYMBOL"
"1","chr4",1511623,1512023,401,"*",5.19759311388655,3.69577165564142,6.05247914845886,-2.13338261200481,1.56490460428905e-14,5.16981885072932e-10,10.86,14.85,8.96,16.35,13.77,74.09,41.36,96.46,53.58,"NKX1-1"
"2","chr1",2683912,2684312,401,"*",5.48845216905552,4.35174529136002,6.23820467942412,-1.66752771018376,5.04775067541411e-09,8.33787456564903e-05,17.11,23.4,14.12,25.76,21.7,84.27,47.04,109.71,60.94,"MMEL1"
"3","chr4",1513070,1513470,401,"*",4.92624655543572,4.06521595910697,5.56945728589066,-1.2850152061566,1.28060906394138e-06,0.0141020670121225,14.03,19.18,11.58,21.12,17.79,53.01,29.59,69.01,38.33,"NKX1-1"
"4","chr21",9823380,9823780,401,"*",4.75739775426968,3.99098706741835,5.35686046235996,-1.14679643023203,4.40458098729438e-05,0.363774343740643,13.32,18.22,11,20.06,16.9,45.74,25.54,59.56,33.08,"LINC01667"
"5","chr17",46259912,46260312,401,"*",3.82512516179329,2.56358921297548,4.61475044478084,-1.81822579281518,5.90533877020632e-05,0.390177543225072,4.95,6.78,4.09,7.46,6.28,27.35,15.27,35.61,19.78,"LRRC37A"
"6","chr5",14706622,14707022,401,"*",5.03230888859546,5.32533379028893,4.55535268748678,0.979267626238176,8.7114582296856e-05,0.465342270920202,33.59,45.95,27.73,50.59,42.61,26.25,14.65,34.17,18.98,"ANKH"
"7","chr7",71264008,71264408,401,"*",3.00229421720393,0.971539595896099,3.96139012294832,-2.706761973646,9.86014013936739e-05,0.465342270920202,1.64,2.25,1.36,2.47,2.08,17.39,9.71,22.64,12.58,"GALNT17"
"8","chr5",110726413,110726813,401,"*",4.76337944211019,5.060910847006,4.27677012095443,0.992298180782368,0.000285487359920471,0.999820495462944,27.97,38.26,23.09,42.12,35.47,21.64,12.08,28.17,15.65,"TMEM232"
"9","chr1",2653949,2654349,401,"*",5.40768442148978,4.83191243154796,5.90475110324463,-0.856948658587182,0.000288854616169971,0.999820495462944,23.86,32.64,19.7,35.93,30.27,66.88,37.34,87.07,48.36,"MMEL1"
"10","chr3",14216323,14216723,401,"*",3.7116331766711,2.61603199258777,4.44721916062289,-1.59926675079803,0.00037553723487492,0.999820495462944,5.14,7.03,4.24,7.74,6.51,24.35,13.59,31.7,17.61,"LSM3"
"11","chr2",96325955,96326355,401,"*",4.50678246646905,3.79187655343588,5.08058733380581,-1.06892872381156,0.00040809673303089,0.999820495462944,11.6,15.87,9.58,17.48,14.72,37.77,21.09,49.18,27.32,"ITPRIPL1"
"12","chr7",75739020,75739420,401,"*",7.7278841586549,7.16418724161583,8.21772732347962,-0.839722409317305,0.000456049300212783,0.999820495462944,120.17,164.38,99.21,180.97,152.42,332.31,185.52,432.65,240.32,"HIP1"
"13","chrY",13479807,13480207,401,"*",3.61454489463683,4.1587116082225,2.38779068891949,1.95449865893126,0.000510798941174264,0.999820495462944,14.96,20.47,12.35,22.54,18.98,5.84,3.26,7.61,4.22,"UTY"
"14","chr12",127165975,127166375,401,"*",5.18877801564171,5.43168248117667,4.81317687996987,0.828678439459335,0.000517825855996929,0.999820495462944,36.16,49.47,29.86,54.46,45.87,31.38,17.52,40.86,22.69,"LINC02405"
"15","chr10",93062948,93063348,401,"*",4.27372074980152,3.50254090299989,4.87549083227121,-1.15155359006959,0.000564491592560536,0.999820495462944,9.5,12.99,7.84,14.3,12.04,32.77,18.29,42.66,23.7,"CYP26A1"
"16","chr10",133335262,133335662,401,"*",5.43013161689291,5.65045296264957,5.09690400333415,0.764531240996571,0.00057411306407772,0.999820495462944,42.08,57.57,34.75,63.38,53.38,38.2,21.33,49.74,27.63,"CALY"
"17","chrY",7273598,7273998,401,"*",4.38474203824925,4.82557900434907,3.53077294415106,1.49612653128943,0.000575644483385157,0.999820495462944,23.76,32.5,19.61,35.78,30.13,12.9,7.2,16.8,9.33,"PRKY"
"18","chr19",49937685,49938085,401,"*",4.63948084036522,3.98119225943245,5.18343506667406,-0.983745582319024,0.000617016421039704,0.999820495462944,13.23,18.1,10.92,19.93,16.78,40.56,22.65,52.81,29.33,"MIR4751"
"19","chr2",69036744,69037144,401,"*",3.27297703080431,1.84927962576346,4.1081373542017,-2.00956607735364,0.000746463424147897,0.999820495462944,3.02,4.13,2.49,4.55,3.83,19.25,10.75,25.06,13.92,"ANTXR1"
"20","chr1",32901244,32901644,401,"*",4.47392534156227,3.78522633150321,5.03413517591153,-1.02939059799809,0.000818161482715985,0.999820495462944,11.55,15.8,9.54,17.4,14.65,36.58,20.42,47.62,26.45,"TMEM54"
"21","chr4",1055793,1056193,401,"*",5.72068261447034,5.25951471909283,6.14506999452079,-0.670644179724956,0.000975690024630226,0.999820495462944,32.09,43.9,26.5,48.33,40.71,79,44.1,102.85,57.13,"RNF212"
"22","chr1",52423734,52424134,401,"*",4.56050600041761,4.84523691370488,4.10107137440917,0.951833969023257,0.00124192091581021,0.999820495462944,24.08,32.94,19.88,36.27,30.55,19.16,10.69,24.94,13.85,"TUT4"
"23","chr1",181033745,181034145,401,"*",5.45018544371267,5.64693776728556,5.15922147185611,0.698900996175621,0.00133428850045602,0.999820495462944,41.98,57.43,34.66,63.22,53.25,39.89,22.27,51.93,28.85,"MR1"
"24","chr11",117950266,117950666,401,"*",4.73621876582689,4.99595710723572,4.32775088992018,0.877091305921412,0.00133824154575474,0.999820495462944,26.74,36.57,22.07,40.26,33.91,22.42,12.51,29.18,16.21,"TMPRSS13"
"25","chrX",133745362,133745762,401,"*",4.30813325932266,4.61882171929015,3.79278846419558,1.03222336884663,0.00140814599430334,0.999820495462944,20.59,28.16,17,31,26.11,15.47,8.64,20.14,11.19,"GPC3"
"26","chrY",20575524,20575924,401,"*",4.08067424018236,4.51922846307046,3.23368342357406,1.48421132398382,0.00145847998804901,0.999820495462944,19.21,26.28,15.86,28.93,24.37,10.5,5.86,13.67,7.59,"EIF1AY"
"27","chr16",88745814,88746214,401,"*",4.51194439060088,3.88527602182622,5.03842596211648,-0.934560431565028,0.00159473017737965,0.999820495462944,12.38,16.94,10.22,18.64,15.7,36.68,20.48,47.76,26.53,"LOC339059"
"28","chr18",45967193,45967593,401,"*",5.83955070318382,6.01162398464858,5.59085061454231,0.632658081481763,0.00161822598627168,0.999820495462944,54.05,73.94,44.63,81.4,68.56,53.8,30.04,70.04,38.91,"EPG5"
"29","chr19",14149499,14149899,401,"*",5.06097655217538,4.546975292992,5.52004410768616,-0.756832215539349,0.00162859179732555,0.999820495462944,19.59,26.79,16.17,29.49,24.84,51.22,28.6,66.69,37.04,"ADGRL1"
"30","chr9",132487456,132487856,401,"*",4.34348052060188,3.66413925078596,4.89874411151058,-1.01461828799705,0.00163182154230573,0.999820495462944,10.62,14.53,8.77,15.99,13.47,33.3,18.59,43.35,24.08,"CFAP77"
"31","chr11",72683822,72684222,401,"*",5.22191228945383,4.72712318097834,5.6686113076706,-0.72568621506773,0.00165902447235599,0.999820495462944,22.19,30.35,18.32,33.42,28.15,56.78,31.7,73.92,41.06,"ARAP1"
"32","chr7",25895358,25895758,401,"*",4.06102554339958,4.41090779083859,3.45483544618897,1.15984913958506,0.0016740903295528,0.999820495462944,17.82,24.38,14.71,26.84,22.61,12.24,6.83,15.94,8.85,"MIR148A"
"33","chr21",14215922,14216322,401,"*",5.81706924497598,5.98912780764778,5.56839378504604,0.632535639125826,0.0017549047752071,0.999820495462944,53.22,72.8,43.94,80.14,67.5,52.97,29.57,68.96,38.31,"RBM11"
"34","chr1",79270652,79271052,401,"*",3.62325430929838,2.6501029717646,4.313233097921,-1.43296104183814,0.00175622732938644,0.999820495462944,5.26,7.19,4.34,7.92,6.67,22.19,12.39,28.89,16.05,"ADGRL4"
"35","chr14",106537522,106537922,401,"*",3.79620430761932,4.1864586194726,3.08714643601216,1.29943929870345,0.00182642299226342,0.999820495462944,15.25,20.87,12.59,22.97,19.35,9.49,5.3,12.35,6.86,"LINC00221"
"36","chr20",19317806,19318206,401,"*",3.60438040628822,2.57719714357621,4.3151403430251,-1.5063610387293,0.00185315404494407,0.999820495462944,5,6.84,4.13,7.53,6.34,22.22,12.41,28.93,16.07,"SLC24A3-AS1"
"37","chr12",113152835,113153235,401,"*",5.65760753749402,5.21042901425382,6.07245219320264,-0.647147318498468,0.00186705167255814,0.999820495462944,31.02,42.43,25.61,46.72,39.35,75.12,41.94,97.8,54.33,"CFAP73"
