"","seqnames","start","end","width","strand","Conc","Conc_good","Conc_poor","Fold","p.value","FDR","G08CD8_S145930","G09CD8_S145931","G48CD8_S145920","G58CD8_S145928","G70CD8_S145926","G27CD8_S145935","G44CD8_S145922","G50CD8_S145937","G52CD8_S145932","G81CD8_S145924","SYMBOL"
"1","chr12",31119751,31120151,401,"*",3.60954228726184,2.15338230971006,4.31930763006832,-2.03768214368988,1.32859650234362e-05,0.338010391764807,5.92,2.98,3.45,4.3,5.59,22.43,12.92,18.13,28.37,17.97,"OVOS2"
"2","chr7",151408939,151409339,401,"*",4.7917635300905,4.04539585580132,5.2812011383121,-1.13250770808658,2.3813610804904e-05,0.338010391764807,21.98,11.06,12.79,15.96,20.76,43.69,25.17,35.31,55.26,35.01,"WDR86-AS1"
"3","chr1",2683944,2684344,401,"*",5.48609133469724,4.82378281729052,5.93830044076994,-1.01393218059607,5.70644308973064e-05,0.414153382142857,37.71,18.97,21.95,27.38,35.61,68.9,39.69,55.68,87.14,55.2,"MMEL1"
"4","chr5",96604253,96604653,401,"*",2.9000091431614,3.69674190583375,0.972251857447615,2.74429335056882,6.72044216033242e-05,0.414153382142857,17.27,8.68,10.05,12.53,16.3,2.2,1.27,1.78,2.79,1.77,"LOC101929710"
"5","chr4",1511667,1512067,401,"*",4.63445801766955,3.91789617219243,5.11105126419872,-1.08970896222687,7.29451497363071e-05,0.414153382142857,20.13,10.12,11.71,14.61,19,38.83,22.37,31.38,49.11,31.11,"NKX1-1"
"6","chr7",144152836,144153236,401,"*",3.02616165642044,3.78370478434129,1.33366428553357,2.48622222298822,0.000116353686337568,0.476857888058036,18.34,9.22,10.67,13.31,17.32,2.83,1.63,2.29,3.58,2.27,"OR2A14"
"7","chr22",46738986,46739386,401,"*",5.05411132219084,5.40872340805695,4.58289919042163,0.919378413346518,0.000117585078779986,0.476857888058036,56.56,28.45,32.92,41.06,53.41,26.93,15.51,21.76,34.06,21.57,"CERK"
"8","chr19",56507567,56507967,401,"*",5.02489198360877,5.37247250392498,4.56606003949651,0.900222395775021,0.000147906810529038,0.511610653435498,55.16,27.74,32.1,40.05,52.08,26.61,15.33,21.51,33.66,21.32,"ZNF471"
"9","chr12",77883397,77883797,401,"*",2.91531562299481,3.6834790646278,1.16336293389674,2.549680655769,0.00016554782442523,0.511610653435498,17.11,8.6,9.96,12.42,16.15,2.52,1.45,2.03,3.18,2.02,"NAV3"
"10","chr20",29885555,29885955,401,"*",4.73905926126809,5.13288207537112,4.19561258176512,1.02984138787086,0.000180220745891045,0.511610653435498,46.72,23.5,27.19,33.92,44.11,20.59,11.86,16.64,26.04,16.5,"FAM242B"
