# GREAT version 4.0.4	Species assembly: hg38	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
Region1	NKX1-1 (-105492)
Region2	MMEL1 (-51122)
Region3	NKX1-1 (-106939)
Region4	TPTE (-697995)
Region5	LRRC37A (-35019)
Region6	OTULIN (+42074)
Region7	GALNT17 (+132039)
Region8	TMEM232 (+52)
Region9	MMEL1 (-21159)
Region10	XPC (-37740)
Region11	ITPRIPL1 (-68)
Region12	HIP1 (-273)
Region13	UTY (+663)
Region14	NONE
Region15	CYP26C1 (+1884)
Region16	CALY (+1445)
Region17	TBL1Y (+363112)
Region18	IL4I1 (-8346)
Region19	ANTXR1 (+23766)
Region20	TMEM54 (-86)
Region21	FGFRL1 (+46014)
Region22	PRPF38A (+19370)
Region23	MR1 (+520)
Region24	TMPRSS13 (-21101)
Region25	GPC3 (+240084)
Region26	EIF1AY (-1)
Region27	PIEZO1 (+39197)
Region28	EPG5 (-119)
Region29	ASF1B (-12743)
Region30	CFAP77 (+77432)
Region31	PDE2A (-9569)
Region32	NFE2L3 (-256682)
Region33	RBM11 (-56)
Region34	ADGRL4 (-264134)
Region35	NONE
Region36	SLC24A3 (+105360)
Region37	CFAP73 (+3177)
Region38	LDLR (-40088)
Region39	ELOVL3 (+4719)
Region40	FIS1 (-38022)
Region41	SDC1 (+477)
Region42	ZNF300 (-26)
Region43	FAM72C (-132459)
Region44	BEAN1 (-417)
Region45	ENSG00000250782 (+917529)
Region46	CTNNBIP1 (+35139)
Region47	CEP78 (-25118)
Region48	GTF2IRD2 (+380)
Region49	HIST1H3E (-93)
Region50	SLFN13 (+423)
Region51	SOGA3 (+4001)
Region52	PUM1 (-54720)
Region53	LIPA (+28)
Region54	CDS2 (+42425)
Region55	SEC14L1 (+67437)
Region56	RNF187 (+70281)
Region57	SUSD6 (-36890)
Region58	FNDC3B (-878)
Region59	KMT2E (-103317)
Region60	TLK1 (-50315)
Region61	MUC5B (+39653)
Region62	CRYBG3 (-93)
Region63	CBWD1 (-81)
Region64	ALDH7A1 (+184)
Region65	SAFB2 (+44547)
Region66	CPEB4 (+29911)
Region67	SUMO4 (-33717)
Region68	NONE
Region69	ATP8A1 (+29040)
Region70	DDX3Y (+734)
Region71	CCT8 (-3365)
Region72	SSBP4 (-8577)
Region73	SLC8A1 (-642531)
Region74	CCDC40 (-95)
Region75	SLC2A3 (-24593)
Region76	SYNCRIP (-274807)
Region77	FASLG (+105563)
Region78	DMAC1 (+104819)
Region79	MTFR2 (+199031)
Region80	VOPP1 (+96806)
Region81	UPF1 (+14109)
Region82	NONE
Region83	MTMR2 (-181305)
Region84	NCOR2 (-72116)
Region85	STXBP4 (-110)
Region86	EPHA3 (+305126)
Region87	UBIAD1 (+7921)
Region88	KCNC3 (-4315)
Region89	TRAM1L1 (-344314)
Region90	TMEM133 (-144586)
Region91	CTTNBP2 (+220)
Region92	OXNAD1 (+73030)
Region93	APOL3 (-19594)
Region94	CASP8 (+8917)
Region95	KDF1 (-26)
Region96	KDM7A (-62542)
Region97	PROSER2 (+45)
Region98	PIM2 (-18159)
Region99	TGFBR2 (+51425)
Region100	PHF19 (-9327)
Region101	IFT74 (-6)
Region102	ADHFE1 (+6686)
Region103	TCF21 (-319802)
Region104	ABCA1 (-63200)
Region105	TUB (-19374)
Region106	ANXA2 (-91)
Region107	LINC00672 (-26282)
Region108	KCNK10 (+156584)
Region109	NTMT1 (-188739)
Region110	HOOK2 (+9335)
Region111	CLLU1 (-60153)
Region112	GIMAP4 (-10347)
Region113	WDR45B (+62160)
Region114	LARP6 (+26)
Region115	CNKSR3 (+774)
Region116	LIPI (+226643)
Region117	TAB1 (-10933)
Region118	UQCRFS1 (+486324)
Region119	CDHR1 (+212)
Region120	LDHC (-26)
Region121	QKI (+710707)
Region122	SLITRK6 (-583115)
Region123	SNTB1 (+1866)
Region124	FBXL16 (+4935)
Region125	FADS2 (+400)
Region126	RPA3 (-46207)
Region127	GORASP2 (-54441)
Region128	KCNIP3 (+48493)
Region129	PCSK5 (+133434)
Region130	HSPA4 (+254143)
Region131	FAM184A (+1933)
Region132	PRPH (+3087)
Region133	SELL (+3348)
Region134	GNPTAB (+6859)
Region135	NEK2 (-5319)
Region136	FGD2 (+12767)
Region137	NOD1 (+32753)
Region138	LRP1B (+988)
Region139	KCNJ4 (+568)
Region140	BPGM (+23183)
Region141	ONECUT2 (-7633)
Region142	B3GAT2 (+988)
Region143	EPS8L2 (+15998)
Region144	RNF222 (-12621)
Region145	NYAP2 (+34629)
Region146	LPCAT1 (-109966)
Region147	MFAP3L (-101)
Region148	MYO15B (+21106)
Region149	OSGIN2 (-22)
Region150	CACNA1E (-165217)
Region151	NONE
Region152	SNX16 (-166609)
Region153	HCK (+85)
Region154	ADAMTS18 (-58010)
Region155	HNRNPAB (-15705)
Region156	ZNF471 (+17)
Region157	RBM5 (-15034)
Region158	SLC16A7 (+555660)
Region159	TCEA2 (-5404)
Region160	RNPEPL1 (+63)
Region161	UBLCP1 (+32563)
Region162	OXR1 (-177736)
Region163	KLHL23 (+247)
Region164	SLC4A3 (-14795)
Region165	KHDRBS3 (+363586)
Region166	RFX3 (+58127)
Region167	USPL1 (-8712)
Region168	CHST8 (+4371)
Region169	BCL2 (+1946)
Region170	SLC24A1 (+17756)
Region171	TXLNB (+12161)
Region172	BHLHE40 (-468)
Region173	DMAC1 (-529454)
Region174	ENAH (-463)
Region175	SLC35A3 (-382)
Region176	TMEM121 (+895089)
Region177	TIGIT (-133)
Region178	NUB1 (+67169)
Region179	DMD (+144197)
Region180	NLN (+82033)
Region181	ALKAL2 (-91452)
Region182	ZFY (+341)
Region183	CPE (+123)
Region184	FYN (+113525)
Region185	RCOR3 (-30250)
Region186	LRRC70 (-26)
Region187	EPPK1 (-24814)
Region188	SMAD4 (+21074)
Region189	PRSS58 (-154846)
Region190	PPIAL4F (-31975)
Region191	CENPW (-124)
Region192	SEPT10 (-62602)
Region193	ORC5 (+12)
Region194	UBE2A (-12420)
Region195	GPI (-46968)
Region196	KCNA4 (+184648)
Region197	RNF213 (-7769)
Region198	DNER (-21639)
Region199	KY (-17247)
Region200	FGF5 (+69341)
Region201	NONE
Region202	UMODL1 (+17971)
Region203	LMNA (+12385)
Region204	ANXA2R (+50624)
Region205	EXD2 (-4)
Region206	FBXO27 (+1009)
Region207	ATXN7L1 (+27004)
Region208	ADORA2B (+66)
Region209	PTPRR (-245706)
Region210	VCPKMT (+33286)
Region211	E2F8 (+391)
Region212	MAK16 (+308)
Region213	PEX5 (+32139)
Region214	ZNF184 (-45996)
Region215	HELB (-71)
Region216	FAM84B (+174530)
Region217	MEI1 (-1)
Region218	FRMD4A (+204913)
Region219	AIG1 (+116788)
Region220	SCN2A (+54461)
Region221	SH3BP5 (+39451)
Region222	ETFRF1 (+33)
Region223	RNF219 (+6426)
Region224	TPD52 (-159946)
Region225	PNPO (+7471)
Region226	SEL1L (-477818)
Region227	SLA (-8284)
Region228	NAP1L1 (+321)
Region229	ZNF213 (-5405)
Region230	DYNC1I2 (+266)
Region231	IL20RA (+13681)
Region232	GLYATL3 (+26907)
Region233	TRIM71 (-36415)
Region234	PERM1 (+4777)
Region235	GRM8 (+926541)
Region236	KCND2 (-142969)
Region237	SCGB1A1 (+5843)
Region238	NFE2L2 (-24901)
Region239	RIMS1 (+304073)
Region240	LATS1 (+139)
Region241	FOXN3 (+314856)
Region242	NSUN6 (+23811)
Region243	TAS2R13 (+4197)
Region244	SLCO1B3 (-31642)
Region245	RGL3 (-3176)
Region246	SLC26A4 (+1084)
Region247	SMC3 (-107)
Region248	SERPINF1 (+2478)
Region249	UBA3 (+52)
Region250	NONE
Region251	C16orf59 (-39)
Region252	CHD7 (+114274)
Region253	PLPPR5 (+101)
Region254	DNAAF5 (-47)
Region255	WDR11 (-139331)
Region256	IFNE (-129871)
Region257	PHF21B (-2970)
Region258	GCHFR (+39)
Region259	RFC3 (+13386)
Region260	ZZZ3 (+143428)
Region261	AGO2 (+38546)
Region262	CDC42EP4 (-161120)
Region263	TOR3A (+48435)
Region264	ISPD (+406)
