"","seqnames","start","end","width","strand","Conc","Conc_good","Conc_poor","Fold","p.value","FDR","G08CD4_S145927","G09CD4_S145929","G48CD4_S145936","G58CD4_S145925","G70CD4_S145923","G44CD4_S145919","G50CD4_S145934","G52CD4_S145933","G81CD4_S145921","SYMBOL","Significance","negLog10Pval","negLog10Pval_capped","Capped"
"1","chr4",1511623,1512023,401,"*",5.19759311388655,3.69577165564142,6.05247914845886,-2.13338261200481,1.56490460428905e-14,5.16981885072932e-10,10.86,14.85,8.96,16.35,13.77,74.09,41.36,96.46,53.58,"NKX1-1","Significant",13.8055121316598,5,"Capped"
"3","chr4",1513070,1513470,401,"*",4.92624655543572,4.06521595910697,5.56945728589066,-1.2850152061566,1.28060906394138e-06,0.0141020670121225,14.03,19.18,11.58,21.12,17.79,53.01,29.59,69.01,38.33,"NKX1-1","Significant",5.8925834286357,5,"Capped"
"39","chr10",102230847,102231247,401,"*",4.98407938062535,4.4611024237039,5.44883348613563,-0.771287809967988,0.00196178919152874,0.999820495462944,18.45,25.24,15.24,27.79,23.41,48.76,27.22,63.48,35.26,"PITX3","Significant",2.70734766253948,2.70734766253948,"Not Capped"
"42","chr5",150904809,150905209,401,"*",3.9917668260337,3.2308950190872,4.58853550380062,-1.13463786188124,0.00243458563722572,0.999820495462944,7.87,10.76,6.49,11.85,9.98,26.86,14.99,34.97,19.42,"ZNF300","Significant",2.61357494442043,2.61357494442043,"Not Capped"
"48","chr7",74850971,74851371,401,"*",3.35481610955448,3.86938965135623,2.24789948651402,1.80343583629614,0.00289330197407822,0.999820495462944,12.24,16.75,10.11,18.44,15.53,5.3,2.96,6.9,3.83,"GTF2IRD2","Significant",2.53860623664868,2.53860623664868,"Not Capped"
"84","chr12",124567168,124567568,401,"*",5.4839340702222,5.05923547451512,5.88311287978735,-0.608707234448538,0.00519294975343892,0.999820495462944,27.93,38.21,23.06,42.07,35.43,65.88,36.78,85.77,47.64,"NCOR2","Significant",2.28458587958283,2.28458587958283,"Not Capped"
"105","chr11",8019059,8019459,401,"*",4.99910811189617,4.53484025784489,5.42558914900139,-0.674661486900194,0.00631104368865115,0.999820495462944,19.42,26.57,16.03,29.25,24.63,47.98,26.78,62.46,34.7,"TUB","Significant",2.19989881338022,2.19989881338022,"Not Capped"
"113","chr17",82586175,82586575,401,"*",4.08194865462733,3.4283194633388,4.62336535042293,-0.973704722614996,0.0068744164713249,0.999820495462944,9.02,12.34,7.45,13.58,11.44,27.51,15.36,35.82,19.9,"FOXK2","Significant",2.16276416063066,2.16276416063066,"Not Capped"
"141","chr18",57427852,57428252,401,"*",3.85154734610043,3.14716714789708,4.41993693141215,-1.04963109007006,0.00827597156062111,0.999820495462944,7.42,10.15,6.13,11.18,9.41,23.89,13.34,31.11,17.28,"ONECUT2","Significant",2.08218101040439,2.08218101040439,"Not Capped"
"156","chr19",56507660,56508060,401,"*",4.82978986842527,5.02987993865741,4.53295686869333,0.7069104293086,0.00898938598884934,0.999820495462944,27.37,37.44,22.6,41.22,34.72,25.84,14.43,33.64,18.69,"ZNF471","Significant",2.04626997131031,2.04626997131031,"Not Capped"
"166","chr9",3467656,3468056,401,"*",4.2837946285779,3.71770724828441,4.77507549499725,-0.838393448091753,0.00978682575183554,0.999820495462944,11.02,15.08,9.1,16.6,13.98,30.56,17.06,39.79,22.1,"RFX3","Significant",2.00935814394742,2.00935814394742,"Not Capped"
"167","chr13",30608871,30609271,401,"*",3.02665467625591,1.88500306746564,3.77807511237887,-1.64866368827594,0.00981043664774474,0.999820495462944,3.09,4.23,2.55,4.66,3.93,15.31,8.55,19.94,11.07,"HMGB1","Significant",2.00831166239723,2.00831166239723,"Not Capped"
"172","chr3",4978448,4978848,401,"*",4.8746886324544,4.41530111941296,5.29787016031307,-0.666268042973447,0.01013222173242,0.999820495462944,17.88,24.45,14.76,26.92,22.67,43.91,24.52,57.17,31.76,"BHLHE40","Significant",1.99429531472507,1.99429531472507,"Not Capped"
"182","chrY",2935792,2936192,401,"*",3.95315430163488,4.32590187696093,3.28996202584015,1.23642059962494,0.0104971643556641,0.999820495462944,16.8,22.98,13.87,25.3,21.31,10.92,6.1,14.21,7.9,"ZFY","Significant",1.97892800293088,1.97892800293088,"Not Capped"
"185","chr1",211228983,211229383,401,"*",4.63589052988565,4.1448400567382,5.08015096935245,-0.718373315205991,0.010647472717324,0.999820495462944,14.82,20.27,12.24,22.32,18.8,37.76,21.08,49.16,27.31,"RCOR3","Significant",1.97275346407232,1.97275346407232,"Not Capped"
"188","chr18",51051009,51051565,557,"*",4.04808962794187,4.3260458533485,3.60273734216945,0.928667547051946,0.0109113157092956,0.999820495462944,16.8,22.99,13.87,25.31,21.31,13.56,7.57,17.66,9.81,"SMAD4","Significant",1.96212287811607,1.96212287811607,"Not Capped"
"211","chr11",19241029,19241429,401,"*",4.71099463499137,4.24072688862613,5.14150656928618,-0.6841269280872,0.0119789623679338,0.999820495462944,15.84,21.67,13.08,23.85,20.09,39.4,22,51.3,28.49,"E2F8","Significant",1.92158079942562,1.92158079942562,"Not Capped"
"214","chr6",27518914,27519314,401,"*",4.34832318506585,4.58102449443728,3.99210313290196,0.796784732310365,0.0122215778748248,0.999820495462944,20.05,27.43,16.56,30.2,25.43,17.76,9.92,23.13,12.85,"ZNF184","Significant",1.91287272059985,1.91287272059985,"Not Capped"
"238","chr2",177289832,177290232,401,"*",3.43775812194982,3.82697898639368,2.73146434360159,1.29096598588225,0.0132985071574483,0.999820495462944,11.89,16.26,9.82,17.91,15.08,7.41,4.14,9.65,5.36,"NFE2L2","Significant",1.87619710863224,1.87619710863224,"Not Capped"
