# GREAT version 4.0.4	Species assembly: hg38	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
Region1	DDX11 (+46057)
Region2	NUB1 (+67428)
Region3	MMEL1 (-51154)
Region4	CAST (-57784)
Region5	NKX1-1 (-105536)
Region6	OR2A14 (+29860)
Region7	CERK (-925)
Region8	ZNF471 (-76)
Region9	NAV3 (+52308)
Region10	NONE
Region11	FAIM2 (-110)
Region12	TMEM121 (+916539)
Region13	HIP1 (-273)
Region14	ADGRA1 (+23905)
Region15	ZNF667 (-180)
Region16	RHD (-4545)
Region17	ARID4A (+32878)
Region18	DAD1 (+27329)
Region19	AATF (+31566)
Region20	TEKT1 (+3)
Region21	LARGE1 (+382811)
Region22	HES1 (-1053)
Region23	HPGD (+376)
Region24	SERHL2 (-86)
Region25	ZNF264 (+40)
Region26	PRMT6 (-140469)
Region27	TRIM47 (+2282)
Region28	ISL1 (+677471)
Region29	FAM19A5 (+147520)
Region30	NEDD1 (+489606)
Region31	PFDN4 (+93836)
Region32	SLC25A13 (+239)
Region33	LILRB5 (-8904)
Region34	ZNF337 (-166886)
Region35	GPBP1 (+124495)
Region36	CRELD2 (+17597)
Region37	OS9 (+7624)
Region38	JAKMIP2 (+47)
Region39	NSDHL (-66)
Region40	TAOK1 (-20475)
Region41	RPL39 (-209)
Region42	PRSS16 (+3781)
Region43	SEC11C (+8863)
Region44	SLC1A4 (-105)
Region45	UBE2E3 (-305313)
Region46	PLCG1 (+20305)
Region47	DOCK9 (-109697)
Region48	CCR6 (-8509)
Region49	IL17C (-18468)
Region50	USP25 (-262092)
Region51	CHADL (+3077)
Region52	UBAP1 (+14823)
Region53	PARP16 (-13688)
Region54	USP39 (+21474)
Region55	CD44 (-93785)
Region56	PRAG1 (+158298)
Region57	LRRC27 (+32248)
Region58	GRIK4 (+173162)
Region59	NR2F6 (-379)
Region60	WDR76 (+76842)
Region61	PLPP7 (+60650)
Region62	CDNF (+189539)
Region63	SAMHD1 (+21101)
Region64	TMEM26 (-5061)
Region65	NONE
Region66	NONE
Region67	CRTAM (-20)
Region68	ABCC2 (+70246)
Region69	WASL (+3)
Region70	EFCC1 (-21)
