"","seqnames","start","end","width","strand","Conc","Conc_good","Conc_poor","Fold","p.value","FDR","G08CD8_S145930","G09CD8_S145931","G48CD8_S145920","G58CD8_S145928","G70CD8_S145926","G27CD8_S145935","G44CD8_S145922","G50CD8_S145937","G52CD8_S145932","G81CD8_S145924","GREAT_SYMBOL","Distance","Significance","negLog10Pval","negLog10Pval_capped","Capped"
"41","chr1",101257786,101258585,800,"*",4.54846313606907,4.61404858190176,4.47975356428983,0.230511391527353,0.396437422405966,0.999789157560756,32.61,16.4,18.98,23.67,30.79,25.07,14.44,20.26,31.71,20.09,"S1PR1","+21298","Not Significant",0.401825356262186,0.401825356262186,"Not Capped"
"42","chr20",59222395,59222795,401,"*",4.81438403575828,4.65211423501383,4.96023358717259,-0.209719572558515,0.396452664053936,0.999789157560756,33.48,16.84,19.48,24.31,31.61,34.98,20.15,28.27,44.24,28.02,"EDN3","-77832","Not Significant",0.401808659462157,0.401808659462157,"Not Capped"
"46","chr6",22980458,22980858,401,"*",3.21818175593009,2.92645524412645,3.46072470703055,-0.43107917084884,0.396629297130993,0.999789157560756,10.12,5.09,5.89,7.35,9.56,12.37,7.13,10,15.65,9.91,"PRL","-683157","Not Significant",0.401615209665767,0.401615209665767,"Not Capped"
"84","chr1",208804090,208804490,401,"*",2.94106766765537,3.13657567119512,2.71484915316299,0.510161320249719,0.398006905391792,0.999789157560756,11.71,5.89,6.81,8.5,11.06,7.38,4.25,5.96,9.33,5.91,"PLXNA2","-559970","Not Significant",0.400109392882255,0.400109392882255,"Not Capped"
"101","chr1",160711904,160712304,401,"*",4.7193769851162,4.90412359001773,4.50744904173834,0.491731504896823,0.0535212456400502,0.999789157560756,39.87,20.05,23.2,28.94,37.65,25.55,14.72,20.65,32.32,20.48,"CD48","-273","Not Significant",1.27147378746174,1.27147378746174,"Not Capped"
"132","chr5",132103650,132104050,401,"*",4.54758174248833,4.61153759444255,4.48065862554838,0.227047038743482,0.399316482905485,0.999789157560756,32.55,16.37,18.94,23.63,30.74,25.08,14.45,20.27,31.73,20.1,"CSF2","+30060","Not Significant",0.39868276271537,0.39868276271537,"Not Capped"
"133","chr12",10385331,10385731,401,"*",2.94947306511599,2.62122692419769,3.21670418222673,-0.490519105521352,0.39937070256081,0.999789157560756,8.19,4.12,4.77,5.95,7.74,10.44,6.02,8.44,13.21,8.37,"KLRK1","+4487","Not Significant",0.398623797709839,0.398623797709839,"Not Capped"
"148","chr17",33959929,33960329,401,"*",3.11331558183429,3.28341920122017,2.92044081975071,0.45415783577945,0.39987382374097,0.999789157560756,12.96,6.52,7.54,9.41,12.24,8.51,4.9,6.87,10.76,6.82,"CCL2","-295156","Not Significant",0.398077024415952,0.398077024415952,"Not Capped"
"149","chr17",45895384,45895784,401,"*",4.41301433120021,4.48293894032605,4.33952721218699,0.239495607249395,0.399893107695105,0.999789157560756,29.77,14.98,17.33,21.62,28.11,22.75,13.1,18.38,28.77,18.23,"MAPT","+1202","Not Significant",0.398056081027215,0.398056081027215,"Not Capped"
"158","chr6",32428793,32429193,401,"*",2.82418442056847,3.03365124482616,2.57905347922198,0.542320567078151,0.400191520884805,0.999789157560756,10.9,5.48,6.35,7.92,10.3,6.71,3.87,5.43,8.49,5.38,"HLA-DRA","-10849","Not Significant",0.397732117278897,0.397732117278897,"Not Capped"
"183","chr3",120094664,120095064,401,"*",6.58936687527953,6.43781009015106,6.72650513495584,-0.191056417247272,0.401115387640368,0.999789157560756,115.43,58.06,67.17,83.8,109,118.98,68.54,96.15,150.49,95.33,"GSK3B","-1198","Not Significant",0.396730677237707,0.396730677237707,"Not Capped"
"187","chr10",70549834,70550234,401,"*",4.30370802177349,4.11706798623831,4.46894509249941,-0.252754078272028,0.401223700842091,0.999789157560756,23.1,11.62,13.45,16.77,21.82,24.88,14.33,20.11,31.47,19.94,"PRF1","+52741","Not Significant",0.396613420514741,0.396613420514741,"Not Capped"
"213","chr11",77474104,77474504,401,"*",5.30843284109174,5.15889112519862,5.44391938230798,-0.187023432190477,0.401946670412164,0.999789157560756,47.57,23.93,27.68,34.53,44.92,48.91,28.17,39.52,61.86,39.19,"PAK1","-244","Not Significant",0.395831564532732,0.395831564532732,"Not Capped"
"228","chr10",6809860,6810260,401,"*",2.29036673435518,1.84513049068999,2.63011523962991,-0.668922249994332,0.402383733366888,0.999789157560756,4.78,2.41,2.78,3.47,4.52,6.96,4.01,5.62,8.8,5.57,"PRKCQ","-229759","Not Significant",0.395359584243857,0.395359584243857,"Not Capped"
"238","chr10",81724956,81725356,401,"*",2.94146328233681,3.13234264918024,2.72142178585313,0.500637027678269,0.402675206417164,0.999789157560756,11.68,5.87,6.79,8.48,11.02,7.41,4.27,5.99,9.37,5.94,"NRG3","-150158","Not Significant",0.39504511001934,0.39504511001934,"Not Capped"
"247","chr14",24714458,24714858,401,"*",3.33339230111411,3.48221496223783,3.16743300573744,0.407361820881511,0.402950669815861,0.999789157560756,14.88,7.48,8.66,10.8,14.05,10.09,5.81,8.16,12.77,8.09,"GZMB","-80391","Not Significant",0.394748117973251,0.394748117973251,"Not Capped"
"260","chr3",32460107,32460507,401,"*",5.56334467973206,5.60539251238922,5.5200344642235,0.182293182913383,0.403258651431079,0.999789157560756,64.82,32.6,37.72,47.06,61.21,51.56,29.7,41.66,65.21,41.31,"CMTM6","+43101","Not Significant",0.394416306571427,0.394416306571427,"Not Capped"
