"","seqnames","start","end","width","strand","Conc","Conc_good","Conc_poor","Fold","p.value","FDR","G08CD4_S145927","G09CD4_S145929","G48CD4_S145936","G58CD4_S145925","G70CD4_S145923","G44CD4_S145919","G50CD4_S145934","G52CD4_S145933","G81CD4_S145921","GREAT_SYMBOL","Distance","Significance","negLog10Pval","negLog10Pval_capped","Capped"
"1","chr4",1511623,1512023,401,"*",5.19759311388655,3.69577165564142,6.05247914845886,-2.13338261200481,1.56490460428905e-14,5.16981885072932e-10,10.86,14.85,8.96,16.35,13.77,74.09,41.36,96.46,53.58,"NKX1-1","-105492","Significant",13.8055121316598,5,"Capped"
"21772","chr4",1513070,1513470,401,"*",4.92624655543572,4.06521595910697,5.56945728589066,-1.2850152061566,1.28060906394138e-06,0.0141020670121225,14.03,19.18,11.58,21.12,17.79,53.01,29.59,69.01,38.33,"NKX1-1","-106939","Significant",5.8925834286357,5,"Capped"
"23950","chr7",25895358,25895758,401,"*",4.06102554339958,4.41090779083859,3.45483544618897,1.15984913958506,0.0016740903295528,0.999820495462944,17.82,24.38,14.71,26.84,22.61,12.24,6.83,15.94,8.85,"NFE2L3","-256682","Significant",2.77622111231172,2.77622111231172,"Not Capped"
"26056","chr5",150904809,150905209,401,"*",3.9917668260337,3.2308950190872,4.58853550380062,-1.13463786188124,0.00243458563722572,0.999820495462944,7.87,10.76,6.49,11.85,9.98,26.86,14.99,34.97,19.42,"ZNF300","-26","Significant",2.61357494442043,2.61357494442043,"Not Capped"
"26703","chr7",74850971,74851371,401,"*",3.35481610955448,3.86938965135623,2.24789948651402,1.80343583629614,0.00289330197407822,0.999820495462944,12.24,16.75,10.11,18.44,15.53,5.3,2.96,6.9,3.83,"GTF2IRD2","+380","Significant",2.53860623664868,2.53860623664868,"Not Capped"
"30615","chr12",124567168,124567568,401,"*",5.4839340702222,5.05923547451512,5.88311287978735,-0.608707234448538,0.00519294975343892,0.999820495462944,27.93,38.21,23.06,42.07,35.43,65.88,36.78,85.77,47.64,"NCOR2","-72116","Significant",2.28458587958283,2.28458587958283,"Not Capped"
"328","chr6",133569136,133569536,401,"*",2.93138168385485,3.45123717773159,1.80396767796028,1.82135610535551,0.00610034891038903,0.999820495462944,9.16,12.54,7.57,13.8,11.62,3.9,2.18,5.07,2.82,"TCF21","-319802","Significant",2.21464532473953,2.21464532473953,"Not Capped"
"543","chr11",8019059,8019459,401,"*",4.99910811189617,4.53484025784489,5.42558914900139,-0.674661486900194,0.00631104368865115,0.999820495462944,19.42,26.57,16.03,29.25,24.63,47.98,26.78,62.46,34.7,"TUB","-19374","Significant",2.19989881338022,2.19989881338022,"Not Capped"
"4455","chr18",57427852,57428252,401,"*",3.85154734610043,3.14716714789708,4.41993693141215,-1.04963109007006,0.00827597156062111,0.999820495462944,7.42,10.15,6.13,11.18,9.41,23.89,13.34,31.11,17.28,"ONECUT2","-7633","Significant",2.08218101040439,2.08218101040439,"Not Capped"
"6089","chr19",56507660,56508060,401,"*",4.82978986842527,5.02987993865741,4.53295686869333,0.7069104293086,0.00898938598884934,0.999820495462944,27.37,37.44,22.6,41.22,34.72,25.84,14.43,33.64,18.69,"ZNF471","+17","Significant",2.04626997131031,2.04626997131031,"Not Capped"
"7173","chr9",3467656,3468056,401,"*",4.2837946285779,3.71770724828441,4.77507549499725,-0.838393448091753,0.00978682575183554,0.999820495462944,11.02,15.08,9.1,16.6,13.98,30.56,17.06,39.79,22.1,"RFX3","+58127","Significant",2.00935814394742,2.00935814394742,"Not Capped"
"7818","chr3",4978448,4978848,401,"*",4.8746886324544,4.41530111941296,5.29787016031307,-0.666268042973447,0.01013222173242,0.999820495462944,17.88,24.45,14.76,26.92,22.67,43.91,24.52,57.17,31.76,"BHLHE40","-468","Significant",1.99429531472507,1.99429531472507,"Not Capped"
"8912","chrY",2935792,2936192,401,"*",3.95315430163488,4.32590187696093,3.28996202584015,1.23642059962494,0.0104971643556641,0.999820495462944,16.8,22.98,13.87,25.3,21.31,10.92,6.1,14.21,7.9,"ZFY","+341","Significant",1.97892800293088,1.97892800293088,"Not Capped"
"9239","chr1",211228983,211229383,401,"*",4.63589052988565,4.1448400567382,5.08015096935245,-0.718373315205991,0.010647472717324,0.999820495462944,14.82,20.27,12.24,22.32,18.8,37.76,21.08,49.16,27.31,"RCOR3","-30250","Significant",1.97275346407232,1.97275346407232,"Not Capped"
"9562","chr18",51051009,51051565,557,"*",4.04808962794187,4.3260458533485,3.60273734216945,0.928667547051946,0.0109113157092956,0.999820495462944,16.8,22.99,13.87,25.31,21.31,13.56,7.57,17.66,9.81,"SMAD4","+21074","Significant",1.96212287811607,1.96212287811607,"Not Capped"
"12074","chr11",19241029,19241429,401,"*",4.71099463499137,4.24072688862613,5.14150656928618,-0.6841269280872,0.0119789623679338,0.999820495462944,15.84,21.67,13.08,23.85,20.09,39.4,22,51.3,28.49,"E2F8","+391","Significant",1.92158079942562,1.92158079942562,"Not Capped"
"12403","chr6",27518914,27519314,401,"*",4.34832318506585,4.58102449443728,3.99210313290196,0.796784732310365,0.0122215778748248,0.999820495462944,20.05,27.43,16.56,30.2,25.43,17.76,9.92,23.13,12.85,"ZNF184","-45996","Significant",1.91287272059985,1.91287272059985,"Not Capped"
"14046","chr16",3129423,3129823,401,"*",5.48401289744724,5.61653523194304,5.29916081936321,0.529187913345862,0.012880033554686,0.999820495462944,41.11,56.23,33.94,61.9,52.14,43.95,24.54,57.22,31.78,"ZNF213","-5405","Significant",1.89008300556347,1.89008300556347,"Not Capped"
"15024","chr2",177289832,177290232,401,"*",3.43775812194982,3.82697898639368,2.73146434360159,1.29096598588225,0.0132985071574483,0.999820495462944,11.89,16.26,9.82,17.91,15.08,7.41,4.14,9.65,5.36,"NFE2L2","-24901","Significant",1.87619710863224,1.87619710863224,"Not Capped"
"15352","chr14",89304074,89304474,401,"*",3.6362228537534,3.96688637791214,3.07560228702807,1.0923208542223,0.0133858698774986,0.999820495462944,13.1,17.92,10.82,19.73,16.62,9.41,5.25,12.25,6.81,"FOXN3","+314856","Significant",1.87335340103871,1.87335340103871,"Not Capped"
"17411","chr1",77539030,77539430,401,"*",3.29745145595886,3.69881481270053,2.55821349898474,1.33459114124684,0.0147896438709853,0.999820495462944,10.88,14.88,8.98,16.38,13.8,6.57,3.67,8.56,4.75,"ZZZ3","+143428","Significant",1.8300422835236,1.8300422835236,"Not Capped"
"18070","chr10",43595672,43596072,401,"*",3.70887100180867,3.00528930284466,4.27684732554246,-1.04746058586564,0.0148627980878863,0.999820495462944,6.73,9.2,5.55,10.13,8.53,21.64,12.08,28.17,15.65,"ZNF485","-10535","Significant",1.82789942208724,1.82789942208724,"Not Capped"
"18832","chr13",113584529,113584929,401,"*",4.94684798191296,4.52651282028668,5.34293757431519,-0.600628241189099,0.0152333686590489,0.999820495462944,19.31,26.41,15.94,29.08,24.49,45.3,25.29,58.98,32.76,"TFDP1","-12","Significant",1.81720404753304,1.81720404753304,"Not Capped"
"19053","chr13",73702433,73702833,401,"*",5.27558976050834,5.41822483656691,5.07484375497183,0.554796118058786,0.0153804481948133,0.999820495462944,35.83,49.01,29.58,53.95,45.44,37.62,21,48.98,27.21,"KLF12","+292416","Significant",1.81303100876748,1.81303100876748,"Not Capped"
"21774","chr6",28399579,28399979,401,"*",4.93368788426991,5.09335283192306,4.70551497483345,0.598618535950123,0.0169811902780362,0.999820495462944,28.6,39.13,23.62,43.07,36.28,29.12,16.26,37.92,21.06,"ZSCAN12","-45","Significant",1.77003187162647,1.77003187162647,"Not Capped"
"23517","chr5",178895802,178896202,401,"*",4.49646589124297,4.69428331032574,4.20363314285113,0.699936315943926,0.0176936235942204,0.999820495462944,21.69,29.67,17.91,32.67,27.51,20.57,11.48,26.78,14.87,"ZFP2","+108","Significant",1.75218321594168,1.75218321594168,"Not Capped"
"23951","chr14",23120767,23121167,401,"*",4.81488119807396,4.98167238480831,4.5749766448144,0.617204327097176,0.0178917611347406,0.999820495462944,26.47,36.21,21.86,39.87,33.58,26.61,14.85,34.64,19.24,"CEBPE","-1351","Significant",1.74734690854077,1.74734690854077,"Not Capped"
"25161","chr12",103100248,103100648,401,"*",2.71480212946369,3.21031626602977,1.67893054281538,1.70556790557913,0.018618315810882,0.999820495462944,7.75,10.61,6.4,11.68,9.84,3.57,2,4.65,2.58,"ASCL1","+142762","Significant",1.73005960730321,1.73005960730321,"Not Capped"
"25534","chr2",230326971,230327371,401,"*",4.77830788411288,4.34586479517542,5.18293054713061,-0.620920426776372,0.0203784812746825,0.999820495462944,17.04,23.3,14.07,25.66,21.61,40.55,22.64,52.79,29.32,"SP140L","-13","Significant",1.69082818532478,1.69082818532478,"Not Capped"
"25597","chr2",199458910,199459310,401,"*",4.90673307551617,4.49627602194666,5.29576982480351,-0.583676507375042,0.0206000267410956,0.999820495462944,18.91,25.87,15.61,28.48,23.98,43.85,24.48,57.09,31.71,"SATB2","-1014","Significant",1.68613221586858,1.68613221586858,"Not Capped"
"25673","chr10",21372925,21373325,401,"*",4.24111249001777,3.71960670289509,4.70493849018135,-0.766989420738368,0.0209986656300158,0.999820495462944,11.04,15.1,9.11,16.62,14,29.11,16.25,37.9,21.05,"MLLT10","-161218","Significant",1.67780830183433,1.67780830183433,"Not Capped"
"25784","chr20",63751136,63751536,401,"*",4.70449586397438,4.27027923478826,5.11035822424449,-0.623709440705097,0.0213541408729886,0.999820495462944,16.17,22.11,13.35,24.35,20.51,38.56,21.53,50.2,27.89,"SLC2A4RG","+11475","Significant",1.67051789656803,1.67051789656803,"Not Capped"
"25806","chr16",4288387,4288787,401,"*",4.61939177650337,4.79696119862195,4.36144787038256,0.645338620497769,0.0217188715063929,0.999820495462944,23.29,31.86,19.23,35.07,29.54,22.94,12.81,29.87,16.59,"TFAP4","-15512","Significant",1.66316274405919,1.66316274405919,"Not Capped"
"25893","chr16",30526465,30526865,401,"*",4.78718336816379,4.36308082587004,5.18594112501414,-0.606651786944194,0.0221068340504843,0.999820495462944,17.24,23.58,14.23,25.96,21.87,40.63,22.69,52.9,29.39,"ZNF768","-76","Significant",1.65547344886654,1.65547344886654,"Not Capped"
"25947","chr5",16456104,16456504,401,"*",3.91696367792113,4.18070916183887,3.50050297017763,0.885650137055643,0.0225517872370953,0.999820495462944,15.19,20.78,12.54,22.88,19.27,12.63,7.05,16.45,9.14,"ZNF622","+9488","Significant",1.64681903443121,1.64681903443121,"Not Capped"
"26078","chr7",17234404,17234804,401,"*",4.37732780909796,3.89281749711027,4.81729711228082,-0.706607218370238,0.0228653303734498,0.999820495462944,12.45,17.02,10.28,18.74,15.79,31.47,17.57,40.97,22.76,"AHR","-64018","Significant",1.64082251926341,1.64082251926341,"Not Capped"
"26089","chr7",64562920,64563320,401,"*",5.57937494727001,5.69107441536289,5.4263690397044,0.476649641268913,0.0229508481579727,0.999820495462944,43.28,59.21,35.74,65.19,54.9,48,26.8,62.5,34.71,"ZNF680","-14","Significant",1.6392012603001,1.6392012603001,"Not Capped"
"26218","chr19",36378878,36379278,401,"*",5.76738990414478,5.42778621448508,6.10330419037146,-0.461221951171913,0.0237082451704118,0.999820495462944,36.06,49.33,29.78,54.31,45.74,76.74,42.84,99.92,55.5,"ZFP14","+121","Significant",1.62510059030739,1.62510059030739,"Not Capped"
"26348","chr7",149415009,149415409,401,"*",3.77732331332749,4.06043557815107,3.32127187253042,0.942879096526207,0.024208642034059,0.999820495462944,13.98,19.12,11.54,21.05,17.73,11.16,6.23,14.53,8.07,"ZNF777","+45914","Significant",1.61602957130405,1.61602957130405,"Not Capped"
"26628","chr10",113007218,113007618,401,"*",4.7789224544341,4.9380387306296,4.55164646894938,0.59703246630797,0.0249603567014149,0.999820495462944,25.68,35.13,21.2,38.68,32.58,26.18,14.62,34.08,18.93,"TCF7L2","+57011","Significant",1.60274921256536,1.60274921256536,"Not Capped"
"26638","chr22",38214460,38214860,401,"*",4.78208574123229,4.36311065460428,5.1772091611321,-0.598129987939984,0.024987112593281,0.999820495462944,17.24,23.58,14.24,25.97,21.87,40.39,22.55,52.58,29.21,"MAFF","+12778","Significant",1.60228392623669,1.60228392623669,"Not Capped"
"26671","chr16",88470607,88471007,401,"*",3.83650428813317,3.23061777913089,4.3511725850379,-0.899215461634568,0.0251906621070214,0.999820495462944,7.86,10.76,6.49,11.84,9.97,22.78,12.72,29.66,16.48,"ZFPM1","+17490","Significant",1.59876041743055,1.59876041743055,"Not Capped"
"26726","chr3",150384920,150385320,401,"*",4.59591327538773,4.77014217910718,4.34359895118777,0.636369965150872,0.0255270334791209,0.999820495462944,22.86,31.27,18.88,34.43,29,22.66,12.65,29.51,16.39,"TSC22D2","-23215","Significant",1.59299965203888,1.59299965203888,"Not Capped"
"26821","chr16",54702096,54702496,401,"*",2.7663124959477,1.66607192572265,3.50352472260539,-1.58782993193466,0.0258354737620047,0.999820495462944,2.66,3.64,2.2,4,3.37,12.66,7.07,16.48,9.16,"IRX5","-228566","Significant",1.58778357010292,1.58778357010292,"Not Capped"
"26886","chr1",247373783,247374183,401,"*",4.70992157305624,4.28477142559113,5.10941916168697,-0.60834238345007,0.0260560277408813,0.999820495462944,16.33,22.34,13.48,24.59,20.71,38.53,21.51,50.17,27.87,"ZNF496","-42240","Significant",1.58409179206579,1.58409179206579,"Not Capped"
"27039","chr8",144713045,144713445,401,"*",3.10875227172566,2.21639774153058,3.76555274675273,-1.31440695465641,0.0266488488705066,0.999820495462944,3.89,5.33,3.21,5.86,4.94,15.18,8.48,19.77,10.98,"ZNF251","+42360","Significant",1.57432154611149,1.57432154611149,"Not Capped"
