# GREAT version 4.0.4	Species assembly: hg38	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
Region1	OR4F16 (-115333)
Region2	SAMD11 (-105128)
Region3	SAMD11 (-103896)
Region4	SAMD11 (-98218)
Region5	SAMD11 (-83435)
Region6	SAMD11 (-70343)
Region7	SAMD11 (-55843)
Region8	SAMD11 (-48740)
Region9	SAMD11 (-47741)
Region10	SAMD11 (-21025)
Region11	NOC2L (-25)
Region12	KLHL17 (+91)
Region13	PLEKHN1 (+255)
Region14	HES4 (+8473)
Region15	HES4 (-642)
Region16	ISG15 (-70)
Region17	AGRN (-604)
Region18	AGRN (+13066)
Region19	AGRN (+20600)
Region20	RNF223 (+14883)
Region21	RNF223 (+10216)
Region22	RNF223 (+5066)
Region23	RNF223 (-4553)
Region24	C1orf159 (+16631)
Region25	C1orf159 (-280)
Region26	C1orf159 (-6159)
Region27	C1orf159 (-20889)
Region28	C1orf159 (-21538)
Region29	C1orf159 (-28031)
Region30	TTLL10 (-16004)
Region31	TNFRSF18 (+4953)
Region32	SDF4 (-71)
Region33	C1QTNF12 (-2580)
Region34	UBE2J2 (+8121)
Region35	UBE2J2 (-114)
Region36	ACAP3 (+385)
Region37	PUSL1 (-155)
Region38	CPTP (+59)
Region39	TAS1R3 (+3520)
Region40	DVL1 (-150)
Region41	MXRA8 (-915)
Region42	AURKAIP1 (+3394)
Region43	AURKAIP1 (-173)
Region44	CCNL2 (-363)
Region45	MRPL20 (-53)
Region46	VWA1 (+97)
Region47	ATAD3B (-186)
Region48	ATAD3B (+548)
Region49	ATAD3A (-7182)
Region50	ATAD3A (-283)
Region51	SSU72 (+59)
Region52	MIB2 (+32)
Region53	MMP23B (-2484)
Region54	MMP23B (-1722)
Region55	CDK11B (+6023)
Region56	CDK11B (+226)
Region57	SLC35E2B (+14241)
Region58	SLC35E2B (-364)
Region59	CDK11A (+5507)
Region60	CDK11A (+3)
Region61	SLC35E2 (+7867)
Region62	SLC35E2 (-440)
Region63	NADK (+1349)
Region64	NADK (-376)
Region65	GNB1 (+743)
Region66	GNB1 (-186)
Region67	CALML6 (-5589)
Region68	TMEM52 (-208)
Region69	TMEM52 (-24888)
Region70	PRKCZ (-5461)
Region71	PRKCZ (-100)
Region72	PRKCZ (+64858)
Region73	PRKCZ (+71110)
Region74	PRKCZ (+71522)
Region75	FAAP20 (+61377)
Region76	FAAP20 (+45764)
Region77	FAAP20 (+18172)
Region78	FAAP20 (+5061)
Region79	FAAP20 (-383)
Region80	FAAP20 (-4382)
Region81	FAAP20 (-9981)
Region82	FAAP20 (-10696)
Region83	SKI (-15580)
Region84	SKI (-933)
Region85	SKI (+5995)
Region86	SKI (+17784)
Region87	SKI (+27319)
Region88	SKI (+72359)
Region89	RER1 (-80306)
Region90	RER1 (-78268)
Region91	RER1 (-76719)
Region92	RER1 (-26317)
Region93	RER1 (-25832)
Region94	RER1 (-23507)
Region95	RER1 (-20157)
Region96	RER1 (-9805)
Region97	RER1 (-175)
Region98	PEX10 (-233)
Region99	PEX10 (-27999)
Region100	PANK4 (+175)
Region101	TNFRSF14 (-10590)
Region102	TNFRSF14 (-9684)
Region103	TNFRSF14 (-7736)
Region104	TNFRSF14 (-1131)
Region105	TNFRSF14 (-156)
Region106	FAM213B (-8597)
Region107	FAM213B (-306)
Region108	MMEL1 (+15647)
Region109	MMEL1 (+8862)
Region110	MMEL1 (+4589)
Region111	MMEL1 (+3745)
Region112	MMEL1 (-792)
Region113	MMEL1 (-10016)
Region114	MMEL1 (-19364)
